numpy,cupy,dask.array,jax,mxnet,pytorch,rnumpy,sparse
"numpy.atleast_1d","atleast_1d","atleast_1d","atleast_1d","atleast_1d","","atleast_1d",""
"numpy.atleast_2d","atleast_2d","atleast_2d","atleast_2d","atleast_2d","","atleast_2d",""
"numpy.atleast_3d","atleast_3d","atleast_3d","atleast_3d","atleast_3d","","atleast_3d",""
"numpy.average","average","average","","average","","",""
"numpy.bartlett","","","bartlett","","bartlett_window","",""
"numpy.base_repr","base_repr","","","base_repr","","",""
"numpy.binary_repr","binary_repr","","","binary_repr","","",""
"numpy.bincount","bincount","bincount","","bincount","bincount","bincount",""
"numpy.bitwise_and","bitwise_and","bitwise_and","bitwise_and","","bitwise_and","",""
"numpy.bitwise_or","bitwise_or","bitwise_or","bitwise_or","","bitwise_or","",""
"numpy.bitwise_xor","bitwise_xor","bitwise_xor","bitwise_xor","","bitwise_xor","",""
"numpy.blackman","blackman","","blackman","","blackman_window","",""
"numpy.block","","block","block","block","","block",""
"numpy.bmat","","","","bmat","","",""
"numpy.broadcast_arrays","broadcast_arrays","broadcast_arrays","broadcast_arrays","broadcast_arrays","broadcast_tensors","",""
"numpy.broadcast_to","broadcast_to","broadcast_to","broadcast_to","broadcast_to","","",""
"numpy.busday_count","","","","","","",""
"numpy.busday_offset","","","","","","",""
"numpy.can_cast","can_cast","","can_cast","","can_cast","",""
"numpy.cbrt","cbrt","","","cbrt","","",""
"numpy.ceil","ceil","ceil","ceil","ceil","ceil","ceil",""
"numpy.char.add","","","","","","",""
"numpy.char.array","","","","core.defchararray.array","","",""
"numpy.char.asarray","","","","core.defchararray.asarray","","",""
"numpy.char.capitalize","","","","","","",""
"numpy.char.center","","","","","","",""
"numpy.char.count","","","","","","",""
"numpy.char.decode","","","","","","",""
"numpy.char.encode","","","","","","",""
"numpy.char.endswith","","","","","","",""
"numpy.char.equal","","","","","","",""
"numpy.char.expandtabs","","","","","","",""
"numpy.char.find","","","","","","",""
"numpy.char.greater","","","","","","",""
"numpy.char.greater_equal","","","","","","",""
"numpy.char.index","","","","","","",""
"numpy.char.isalnum","","","","","","",""
"numpy.char.isalpha","","","","","","",""
"numpy.char.isdecimal","","","","","","",""
"numpy.char.isdigit","","","","","","",""
"numpy.char.islower","","","","","","",""
"numpy.char.isnumeric","","","","","","",""
"numpy.char.isspace","","","","","","",""
"numpy.char.istitle","","","","","","",""
"numpy.char.isupper","","","","","","",""
"numpy.char.join","","","","","","",""
"numpy.char.less","","","","","","",""
"numpy.char.less_equal","","","","","","",""
"numpy.char.ljust","","","","","","",""
"numpy.char.lower","","","","","","",""
"numpy.char.lstrip","","","","","","",""
"numpy.char.mod","","","","","","",""
"numpy.char.multiply","","","","","","",""
"numpy.char.not_equal","","","","","","",""
"numpy.char.partition","","","","","","",""
"numpy.char.replace","","","","","","",""
"numpy.char.rfind","","","","","","",""
"numpy.char.rindex","","","","","","",""
"numpy.char.rjust","","","","","","",""
"numpy.char.rpartition","","","","","","",""
"numpy.char.rsplit","","","","","","",""
"numpy.char.rstrip","","","","","","",""
"numpy.char.split","","","","","","",""
"numpy.char.splitlines","","","","","","",""
"numpy.char.startswith","","","","","","",""
"numpy.char.str_len","","","","","","",""
"numpy.char.strip","","","","","","",""
"numpy.char.swapcase","","","","","","",""
"numpy.char.title","","","","","","",""
"numpy.char.translate","","","","","","",""
"numpy.char.upper","","","","","","",""
"numpy.char.zfill","","","","","","",""
"numpy.choose","","choose","","","","",""
"numpy.clip","clip","clip","clip","clip","","","clip"
"numpy.column_stack","column_stack","","column_stack","column_stack","","",""
"numpy.common_type","common_type","","","","","",""
"numpy.compress","","compress","","","","",""
"numpy.concatenate","concatenate","concatenate","concatenate","concatenate","cat","concatenate","concatenate"
"numpy.conj","conj","conj","conj","conj","conj","conj",""
"numpy.conjugate","","","conjugate","conjugate","","",""
"numpy.convolve","","","convolve","convolve","","",""
"numpy.copy","copy","","","copy","","",""
"numpy.copysign","copysign","copysign","copysign","copysign","","",""
"numpy.copyto","copyto","","","copyto","","",""
"numpy.core.records.array","","","","core.records.array","","",""
"numpy.core.records.fromarrays","","","","core.records.fromarrays","","",""
"numpy.core.records.fromfile","","","","core.records.fromfile","","",""
"numpy.core.records.fromrecords","","","","core.records.fromrecords","","",""
"numpy.core.records.fromstring","","","","core.records.fromstring","","",""
"numpy.corrcoef","corrcoef","corrcoef","corrcoef","corrcoef","","corrcoef",""
"numpy.correlate","","","correlate","correlate","","correlate",""
"numpy.cos","cos","cos","cos","cos","cos","cos",""
"numpy.cosh","cosh","cosh","cosh","cosh","cosh","cosh",""
"numpy.count_nonzero","count_nonzero","count_nonzero","count_nonzero","count_nonzero","","",""
"numpy.cov","cov","cov","cov","cov","","cov",""
"numpy.cross","cross","","cross","cross","cross","",""
"numpy.cumprod","cumprod","cumprod","cumproduct","cumprod","cumprod","",""
"numpy.cumsum","cumsum","cumsum","cumsum","cumsum","cumsum","",""
"numpy.datetime_as_string","","","","","","",""
"numpy.datetime_data","","","","","","",""
"numpy.deg2rad","deg2rad","deg2rad","deg2rad","deg2rad","","deg2rad",""
"numpy.degrees","degrees","degrees","degrees","degrees","","",""
"numpy.delete","","","","delete","","",""
"numpy.diag","diag","diag","diag","diag","diag","diag",""
"numpy.diag_indices","","","diag_indices","","","",""
"numpy.diag_indices_from","","","","","","",""
"numpy.diagflat","diagflat","","","diagflat","diagflat","",""
"numpy.diagonal","diagonal","diagonal","diagonal","","diagonal","","diagonal"
"numpy.diff","diff","diff","","diff","","",""
"numpy.digitize","","digitize","","digitize","","",""
"numpy.divide","divide","","divide","divide","div","divide",""
"numpy.divmod","","","divmod","divmod","","",""
"numpy.dot","dot","dot","","dot","dot","dot","dot"
"numpy.dsplit","dsplit","","dsplit","dsplit","","",""
"numpy.dstack","dstack","dstack","dstack","dstack","","",""
"numpy.ediff1d","","ediff1d","","ediff1d","","",""
"numpy.einsum","einsum","einsum","einsum","einsum","einsum","einsum",""
"numpy.einsum_path","","","","einsum_path","","",""
"numpy.empty","empty","empty","empty","empty","empty","empty",""
"numpy.empty_like","empty_like","empty_like","empty_like","empty_like","empty_like","empty_like",""
"numpy.equal","equal","","equal","","eq","",""
"numpy.exp","exp","exp","exp","exp","exp","exp",""
"numpy.exp2","exp2","","exp2","exp2","","",""
"numpy.expand_dims","expand_dims","","expand_dims","expand_dims","unsqueeze","",""
"numpy.expm1","expm1","expm1","expm1","expm1","expm1","",""
"numpy.extract","","","","extract","","",""
"numpy.eye","eye","eye","eye","eye","eye","","eye"
"numpy.fabs","","fabs","fabs","fabs","","",""
"numpy.fft.fft","fft.fft","fft.fft","fft","","fft","",""
"numpy.fft.fft2","fft.fft2","fft.fft2","fft2","","","",""
"numpy.fft.fftfreq","fft.fftfreq","fft.fftfreq","fftfreq","","","",""
"numpy.fft.fftn","fft.fftn","fft.fftn","fftn","","","",""
"numpy.fft.fftshift","fft.fftshift","fft.fftshift","fftshift","","","",""
"numpy.fft.hfft","fft.hfft","fft.hfft","","","","",""
"numpy.fft.ifft","fft.ifft","fft.ifft","ifft","","ifft","",""
"numpy.fft.ifft2","fft.ifft2","fft.ifft2","ifft2","","","",""
"numpy.fft.ifftn","fft.ifftn","fft.ifftn","ifftn","","","",""
"numpy.fft.ifftshift","fft.ifftshift","fft.ifftshift","ifftshift","","","",""
"numpy.fft.ihfft","fft.ihfft","fft.ihfft","","","","",""
"numpy.fft.irfft","fft.irfft","fft.irfft","irfft","","irfft","",""
"numpy.fft.irfft2","fft.irfft2","fft.irfft2","irfft2","","","",""
"numpy.fft.irfftn","fft.irfftn","fft.irfftn","irfftn","","","",""
"numpy.fft.rfft","fft.rfft","fft.rfft","rfft","","rfft","",""
"numpy.fft.rfft2","fft.rfft2","fft.rfft2","rfft2","","","",""
"numpy.fft.rfftfreq","fft.rfftfreq","fft.rfftfreq","rfftfreq","","","",""
"numpy.fft.rfftn","fft.rfftn","fft.rfftn","rfftn","","","",""
"numpy.fill_diagonal","fill_diagonal","","","","","",""
"numpy.find_common_type","","","","","","",""
"numpy.fix","fix","fix","fix","fix","","",""
"numpy.flatnonzero","flatnonzero","flatnonzero","","flatnonzero","","",""
"numpy.flip","flip","flip","flip","flip","flip","",""
"numpy.fliplr","fliplr","fliplr","fliplr","fliplr","","",""
"numpy.flipud","flipud","flipud","flipud","flipud","","",""
"numpy.float_power","","","float_power","float_power","","",""
"numpy.floor","floor","floor","floor","floor","floor","floor",""
"numpy.floor_divide","floor_divide","","floor_divide","floor_divide","floor_divide","",""
"numpy.fmax","fmax","fmax","fmax","fmax","","",""
"numpy.fmin","fmin","fmin","fmin","fmin","","",""
"numpy.fmod","fmod","fmod","fmod","fmod","fmod","",""
"numpy.format_float_positional","","","","format_float_positional","","",""
"numpy.format_float_scientific","","","","format_float_scientific","","",""
"numpy.frexp","frexp","frexp","frexp","frexp","","",""
"numpy.frombuffer","","","","frombuffer","","",""
"numpy.fromfile","fromfile","","","fromfile","","",""
"numpy.fromfunction","","fromfunction","","fromfunction","","",""
"numpy.fromiter","","","","fromiter","","",""
"numpy.frompyfunc","","frompyfunc","","","","",""
"numpy.fromregex","","","","fromregex","","",""
"numpy.fromstring","","","","fromstring","","",""
"numpy.full","full","full","full","full","full","","full"
"numpy.full_like","full_like","full_like","full_like","full_like","full_like","","full_like"
"numpy.fv","","","","","","",""
"numpy.gcd","","","gcd","gcd","","",""
"numpy.genfromtxt","","","","genfromtxt","","",""
"numpy.geomspace","","","geomspace","geomspace","","",""
"numpy.get_printoptions","","","","get_printoptions","","",""
"numpy.getbufsize","","","","","","",""
"numpy.geterr","","","","","","",""
"numpy.geterrcall","","","","","","",""
"numpy.geterrobj","","","","","","",""
"numpy.gradient","","gradient","","gradient","","",""
"numpy.greater","greater","","greater","","gt","",""
"numpy.greater_equal","greater_equal","","greater_equal","","ge","",""
"numpy.hamming","hamming","","hamming","","hamming_window","",""
"numpy.hanning","hanning","","hanning","","hann_window","",""
"numpy.heaviside","","","heaviside","heaviside","","",""
"numpy.histogram","histogram","histogram","","histogram","histc","histogram",""
"numpy.histogram2d","","","","histogram2d","","histogram2d",""
"numpy.histogram_bin_edges","","","","histogram_bin_edges","","",""
"numpy.histogramdd","","","","histogramdd","","histogramdd",""
"numpy.hsplit","hsplit","","hsplit","hsplit","","",""
"numpy.hstack","hstack","hstack","hstack","hstack","","",""
"numpy.hypot","hypot","hypot","hypot","hypot","","hypot",""
"numpy.i0","i0","","","i0","","",""
"numpy.identity","identity","","identity","identity","","",""
"numpy.imag","imag","imag","imag","imag","imag","",""
"numpy.in1d","in1d","","","","","",""
"numpy.indices","indices","indices","","","","",""
"numpy.info","","","","","","",""
"numpy.inner","inner","","inner","inner","","inner",""
"numpy.insert","","insert","","insert","","",""
"numpy.interp","","","","interp","","",""
"numpy.intersect1d","","","","","","",""
"numpy.invert","invert","invert","","","","",""
"numpy.ipmt","","","","","","",""
"numpy.irr","","","","","","",""
"numpy.is_busday","","","","","","",""
"numpy.isclose","isclose","isclose","isclose","","","isclose",""
"numpy.iscomplex","iscomplex","iscomplex","iscomplex","","is_complex","iscomplex",""
"numpy.iscomplexobj","iscomplexobj","","","","","",""
"numpy.isfinite","isfinite","isfinite","isfinite","","isfinite","isfinite",""
"numpy.isfortran","isfortran","","","","","",""
"numpy.isin","isin","isin","","","","",""
"numpy.isinf","isinf","isinf","isinf","","isinf","isinf",""
"numpy.isnan","isnan","isnan","isnan","","isnan","isnan",""
"numpy.isnat","","","","","","",""
"numpy.isneginf","","isneginf","isneginf","","","","isneginf"
"numpy.isposinf","","isposinf","isposinf","","","","isposinf"
"numpy.isreal","isreal","isreal","isreal","","is_floating_point","isreal",""
"numpy.isrealobj","isrealobj","","","","","",""
"numpy.isscalar","isscalar","","isscalar","","","",""
"numpy.issctype","","","","","","",""
"numpy.issubclass_","","","","","","",""
"numpy.issubdtype","","","issubdtype","","","",""
"numpy.issubsctype","","","issubsctype","","","",""
"numpy.ix_","ix_","","ix_","","","",""
"numpy.kaiser","","","kaiser","","","",""
"numpy.kron","kron","","kron","kron","","","kron"
"numpy.lcm","","","lcm","lcm","","",""
"numpy.ldexp","ldexp","ldexp","ldexp","ldexp","","",""
"numpy.left_shift","left_shift","","left_shift","","","",""
"numpy.less","less","","less","","lt","",""
"numpy.less_equal","less_equal","","less_equal","","le","",""
"numpy.lexsort","lexsort","","","lexsort","","",""
"numpy.linalg.cholesky","linalg.cholesky","linalg.cholesky","cholesky","linalg.cholesky","cholesky","",""
"numpy.linalg.cond","","","cond","linalg.cond","","",""
"numpy.linalg.det","linalg.det","","det","linalg.det","det","",""
"numpy.linalg.eig","","","eig","linalg.eig","eig","",""
"numpy.linalg.eigh","linalg.eigh","","eigh","linalg.eigh","","",""
"numpy.linalg.eigvals","","","eigvals","linalg.eigvals","","",""
"numpy.linalg.eigvalsh","linalg.eigvalsh","","eigvalsh","","symeig","",""
"numpy.linalg.inv","linalg.inv","linalg.inv","inv","linalg.inv","inverse","",""
"numpy.linalg.lstsq","linalg.lstsq","linalg.lstsq","","linalg.lstsq","lstsq","",""
"numpy.linalg.matrix_power","linalg.matrix_power","","matrix_power","linalg.matrix_power","matrix_power","",""
"numpy.linalg.matrix_rank","linalg.matrix_rank","","matrix_rank","linalg.matrix_rank","matrix_rank","",""
"numpy.linalg.multi_dot","","","multi_dot","linalg.multi_dot","","",""
"numpy.linalg.norm","linalg.norm","linalg.norm","norm","linalg.norm","norm","",""
"numpy.linalg.pinv","linalg.pinv","","pinv","linalg.pinv","","",""
"numpy.linalg.qr","linalg.qr","linalg.qr","qr","linalg.qr","qr","",""
"numpy.linalg.slogdet","linalg.slogdet","","slogdet","linalg.slogdet","slogdet","",""
"numpy.linalg.solve","linalg.solve","linalg.solve","solve","linalg.solve","solve","",""
"numpy.linalg.svd","linalg.svd","linalg.svd","svd","linalg.svd","svd","",""
"numpy.linalg.tensorinv","linalg.tensorinv","","tensorinv","linalg.tensorinv","","",""
"numpy.linalg.tensorsolve","linalg.tensorsolve","","tensorsolve","linalg.tensorsolve","","",""
"numpy.linspace","linspace","linspace","linspace","linspace","linspace","linspace",""
"numpy.load","load","","","load","","load",""
"numpy.loadtxt","","","","loadtxt","","",""
"numpy.log","log","log","log","log","log","log",""
"numpy.log10","log10","log10","log10","log10","log10","",""
"numpy.log1p","log1p","log1p","log1p","log1p","log1p","",""
"numpy.log2","log2","log2","log2","log2","log2","",""
"numpy.logaddexp","logaddexp","logaddexp","logaddexp","logaddexp","logsumexp","logaddexp",""
"numpy.logaddexp2","logaddexp2","logaddexp2","logaddexp2","logaddexp2","","",""
"numpy.logical_and","logical_and","logical_and","logical_and","","logical_and","logical_and",""
"numpy.logical_not","logical_not","logical_not","logical_not","","logical_not","logical_not",""
"numpy.logical_or","logical_or","logical_or","logical_or","","logical_or","logical_or",""
"numpy.logical_xor","logical_xor","logical_xor","logical_xor","","logical_xor","logical_xor",""
"numpy.logspace","logspace","","logspace","logspace","logspace","",""
"numpy.lookfor","","","","","","",""
"numpy.ma.all","","","","","","",""
"numpy.ma.allclose","","","","","","",""
"numpy.ma.allequal","","","","","","",""
"numpy.ma.anom","","","","","","",""
"numpy.ma.anomalies","","","","","","",""
"numpy.ma.any","","","","","","",""
"numpy.ma.append","","","","","","",""
"numpy.ma.apply_along_axis","","","","","","",""
"numpy.ma.arange","","","","","","",""
"numpy.ma.argmax","","","","","","",""
"numpy.ma.argmin","","","","","","",""
"numpy.ma.argsort","","","","","","",""
"numpy.ma.around","","","","","","",""
"numpy.ma.array","","","","","","",""
"numpy.ma.asanyarray","","","","","","",""
"numpy.ma.asarray","","","","","","",""
"numpy.ma.atleast_1d","","","","","","",""
"numpy.ma.atleast_2d","","","","","","",""
"numpy.ma.atleast_3d","","","","","","",""
"numpy.ma.average","","ma.average","","","","",""
"numpy.ma.choose","","","","","","",""
"numpy.ma.clip","","","","","","",""
"numpy.ma.clump_masked","","","","","","",""
"numpy.ma.clump_unmasked","","","","","","",""
"numpy.ma.column_stack","","","","","","",""
"numpy.ma.common_fill_value","","","","","","",""
"numpy.ma.compress_cols","","","","","","",""
"numpy.ma.compress_rowcols","","","","","","",""
"numpy.ma.compress_rows","","","","","","",""
"numpy.ma.compressed","","","","","","",""
"numpy.ma.concatenate","","","","","","",""
"numpy.ma.conjugate","","","","","","",""
"numpy.ma.copy","","","","","","",""
"numpy.ma.corrcoef","","","","","","",""
"numpy.ma.count","","","","","","",""
"numpy.ma.count_masked","","","","","","",""
"numpy.ma.cov","","","","","","",""
"numpy.ma.cumprod","","","","","","",""
"numpy.ma.cumsum","","","","","","",""
"numpy.ma.default_fill_value","","","","","","",""
"numpy.ma.diag","","","","","","",""
"numpy.ma.dot","","","","","","",""
"numpy.ma.dstack","","","","","","",""
"numpy.ma.dump","","","","","","",""
"numpy.ma.dumps","","","","","","",""
"numpy.ma.ediff1d","","","","","","",""
"numpy.ma.empty","","","","","","",""
"numpy.ma.empty_like","","","","","","",""
"numpy.ma.expand_dims","","","","","","",""
"numpy.ma.filled","","ma.filled","","","","",""
"numpy.ma.fix_invalid","","ma.fix_invalid","","","","",""
"numpy.ma.flatnotmasked_contiguous","","","","","","",""
"numpy.ma.flatnotmasked_edges","","","","","","",""
"numpy.ma.frombuffer","","","","","","",""
"numpy.ma.fromfunction","","","","","","",""
"numpy.ma.getdata","","ma.getdata","","","","",""
"numpy.ma.getmask","","","","","","",""
"numpy.ma.getmaskarray","","ma.getmaskarray","","","","",""
"numpy.ma.harden_mask","","","","","","",""
"numpy.ma.hsplit","","","","","","",""
"numpy.ma.hstack","","","","","","",""
"numpy.ma.identity","","","","","","",""
"numpy.ma.indices","","","","","","",""
"numpy.ma.inner","","","","","","",""
"numpy.ma.innerproduct","","","","","","",""
"numpy.ma.is_mask","","","","","","",""
"numpy.ma.is_masked","","","","","","",""
"numpy.ma.load","","","","","","",""
"numpy.ma.loads","","","","","","",""
"numpy.ma.make_mask","","","","","","",""
"numpy.ma.make_mask_descr","","","","","","",""
"numpy.ma.make_mask_none","","","","","","",""
"numpy.ma.mask_cols","","","","","","",""
"numpy.ma.mask_or","","","","","","",""
"numpy.ma.mask_rowcols","","","","","","",""
"numpy.ma.mask_rows","","","","","","",""
"numpy.ma.masked_all","","","","","","",""
"numpy.ma.masked_all_like","","","","","","",""
"numpy.ma.masked_equal","","ma.masked_equal","","","","",""
"numpy.ma.masked_greater","","ma.masked_greater","","","","",""
"numpy.ma.masked_greater_equal","","ma.masked_greater_equal","","","","",""
"numpy.ma.masked_inside","","ma.masked_inside","","","","",""
"numpy.ma.masked_invalid","","ma.masked_invalid","","","","",""
"numpy.ma.masked_less","","ma.masked_less","","","","",""
"numpy.ma.masked_less_equal","","ma.masked_less_equal","","","","",""
"numpy.ma.masked_not_equal","","ma.masked_not_equal","","","","",""
"numpy.ma.masked_object","","","","","","",""
"numpy.ma.masked_outside","","ma.masked_outside","","","","",""
"numpy.ma.masked_values","","ma.masked_values","","","","",""
"numpy.ma.masked_where","","ma.masked_where","","","masked_select","",""
"numpy.ma.max","","","","","","",""
"numpy.ma.maximum_fill_value","","","","","","",""
"numpy.ma.mean","","","","","","",""
"numpy.ma.median","","","","","","",""
"numpy.ma.min","","","","","","",""
"numpy.ma.nonzero","","","","","","",""
"numpy.ma.notmasked_contiguous","","","","","","",""
"numpy.ma.notmasked_edges","","","","","","",""
"numpy.ma.ones","","","","","","",""
"numpy.ma.outer","","","","","","",""
"numpy.ma.outerproduct","","","","","","",""
"numpy.ma.polyfit","","","","","","",""
"numpy.ma.power","","","","","","",""
"numpy.ma.prod","","","","","","",""
"numpy.ma.ptp","","","","","","",""
"numpy.ma.ravel","","","","","","",""
"numpy.ma.reshape","","","","","","",""
"numpy.ma.resize","","","","","","",""
"numpy.ma.round","","","","","","",""
"numpy.ma.row_stack","","","","","","",""
"numpy.ma.set_fill_value","","ma.set_fill_value","","","","",""
"numpy.ma.shape","","","","","","",""
"numpy.ma.size","","","","","","",""
"numpy.ma.soften_mask","","","","","","",""
"numpy.ma.sort","","","","","","",""
"numpy.ma.squeeze","","","","","","",""
"numpy.ma.stack","","","","","","",""
"numpy.ma.std","","","","","","",""
"numpy.ma.sum","","","","","","",""
"numpy.ma.swapaxes","","","","","","",""
"numpy.ma.trace","","","","","","",""
"numpy.ma.transpose","","","","","","",""
"numpy.ma.vander","","","","","","",""
"numpy.ma.var","","","","","","",""
"numpy.ma.vstack","","","","","","",""
"numpy.ma.where","","","","","","",""
"numpy.ma.zeros","","","","","","",""
"numpy.mask_indices","","","","","","",""
"numpy.mat","","","","mat","","",""
"numpy.matlib.empty","","","","","","",""
"numpy.matlib.eye","","","","","","",""
"numpy.matlib.identity","","","","","","",""
"numpy.matlib.ones","","","","","","",""
"numpy.matlib.rand","","","","","","",""
"numpy.matlib.randn","","","","","","",""
"numpy.matlib.repmat","","","","","","",""
"numpy.matlib.zeros","","","","","","",""
"numpy.matmul","matmul","matmul","matmul","matmul","mm","","matmul"
"numpy.maximum","maximum","maximum","maximum","maximum","max","",""
"numpy.maximum_sctype","","","","","","",""
"numpy.may_share_memory","","","","","","",""
"numpy.mean","mean","mean","mean","mean","mean","mean",""
"numpy.median","","median","median","median","median","median",""
"numpy.meshgrid","meshgrid","meshgrid","meshgrid","meshgrid","meshgrid","meshgrid",""
"numpy.min_scalar_type","","","","","","",""
"numpy.minimum","minimum","minimum","minimum","minimum","min","",""
"numpy.mintypecode","","","","","","",""
"numpy.mirr","","","","","","",""
"numpy.mod","mod","","mod","mod","","mod",""
"numpy.modf","modf","modf","","modf","","",""
"numpy.moveaxis","moveaxis","moveaxis","moveaxis","moveaxis","","moveaxis",""
"numpy.msort","msort","","msort","msort","","",""
"numpy.multiply","multiply","","multiply","multiply","mul","multiply",""
"numpy.nan_to_num","nan_to_num","nan_to_num","nan_to_num","nan_to_num","","",""
"numpy.nanargmax","nanargmax","nanargmax","","nanargmax","","nanargmax",""
"numpy.nanargmin","nanargmin","nanargmin","","nanargmin","","nanargmin",""
"numpy.nancumprod","","nancumprod","nancumprod","nancumprod","","",""
"numpy.nancumsum","","nancumsum","nancumsum","nancumsum","","",""
"numpy.nanmax","nanmax","nanmax","nanmax","nanmax","","nanmax","nanmax"
"numpy.nanmean","nanmean","nanmean","","nanmean","","nanmean","nanmean"
"numpy.nanmedian","","nanmedian","","nanmedian","","nanmedian",""
"numpy.nanmin","nanmin","nanmin","nanmin","nanmin","","nanmin","nanmin"
"numpy.nanpercentile","","","","nanpercentile","","",""
"numpy.nanprod","nanprod","nanprod","nanprod","nanprod","","","nanprod"
"numpy.nanquantile","","","","nanquantile","","nanquantile",""
"numpy.nanstd","nanstd","nanstd","","nanstd","","nanstd",""
"numpy.nansum","nansum","nansum","nansum","nansum","","nansum","nansum"
"numpy.nanvar","nanvar","nanvar","","nanvar","","nanvar",""
"numpy.negative","negative","","negative","negative","neg","",""
"numpy.nested_iters","","","","","","",""
"numpy.nextafter","nextafter","nextafter","nextafter","nextafter","","",""
"numpy.nonzero","nonzero","nonzero","nonzero","nonzero","nonzero","nonzero",""
"numpy.not_equal","not_equal","","not_equal","","ne","",""
"numpy.nper","","","","","","",""
"numpy.npv","","","","","","",""
"numpy.obj2sctype","","","","","","",""
"numpy.ones","ones","ones","ones","ones","ones","ones","ones"
"numpy.ones_like","ones_like","ones_like","ones_like","ones_like","ones_like","ones_like","ones_like"
"numpy.outer","outer","outer","outer","outer","","outer","outer"
"numpy.packbits","packbits","","packbits","","","",""
"numpy.pad","pad","pad","pad","","","pad",""
"numpy.partition","partition","","","partition","","",""
"numpy.percentile","percentile","percentile","percentile","percentile","","",""
"numpy.piecewise","","piecewise","","","","",""
"numpy.place","place","","","","","",""
"numpy.pmt","","","","","","",""
"numpy.poly","","","","","","",""
"numpy.polyadd","","","","","","",""
"numpy.polyder","","","","","","",""
"numpy.polydiv","","","","","","",""
"numpy.polyfit","","","","","","",""
"numpy.polyint","","","","","","",""
"numpy.polymul","","","","","","",""
"numpy.polynomial.chebyshev.cheb2poly","","","","","","",""
"numpy.polynomial.chebyshev.chebadd","","","","","","",""
"numpy.polynomial.chebyshev.chebcompanion","","","","","","",""
"numpy.polynomial.chebyshev.chebder","","","","","","",""
"numpy.polynomial.chebyshev.chebdiv","","","","","","",""
"numpy.polynomial.chebyshev.chebfit","","","","","","",""
"numpy.polynomial.chebyshev.chebfromroots","","","","","","",""
"numpy.polynomial.chebyshev.chebgauss","","","","","","",""
"numpy.polynomial.chebyshev.chebgrid2d","","","","","","",""
"numpy.polynomial.chebyshev.chebgrid3d","","","","","","",""
"numpy.polynomial.chebyshev.chebint","","","","","","",""
"numpy.polynomial.chebyshev.chebline","","","","","","",""
"numpy.polynomial.chebyshev.chebmul","","","","","","",""
"numpy.polynomial.chebyshev.chebmulx","","","","","","",""
"numpy.polynomial.chebyshev.chebpow","","","","","","",""
"numpy.polynomial.chebyshev.chebroots","","","","","","",""
"numpy.polynomial.chebyshev.chebsub","","","","","","",""
"numpy.polynomial.chebyshev.chebtrim","","","","","","",""
"numpy.polynomial.chebyshev.chebval","","","","","","",""
"numpy.polynomial.chebyshev.chebval2d","","","","","","",""
"numpy.polynomial.chebyshev.chebval3d","","","","","","",""
"numpy.polynomial.chebyshev.chebvander","","","","","","",""
"numpy.polynomial.chebyshev.chebvander2d","","","","","","",""
"numpy.polynomial.chebyshev.chebvander3d","","","","","","",""
