numpy,cupy,dask.array,jax,mxnet,pytorch,tensorflow
"numpy.char.startswith","","","","","",""
"numpy.char.str_len","","","","","",""
"numpy.char.strip","","","","","","strings.strip"
"numpy.char.swapcase","","","","","",""
"numpy.char.title","","","","","",""
"numpy.char.translate","","","","","",""
"numpy.char.upper","","","","","",""
"numpy.char.zfill","","","","","",""
"numpy.choose","","choose","","","",""
"numpy.clip","clip","clip","clip","clip","","clip_by_value"
"numpy.column_stack","column_stack","","column_stack","column_stack","",""
"numpy.common_type","common_type","","","","",""
"numpy.compress","","compress","","","",""
"numpy.conjugate","","","conjugate","conjugate","",""
"numpy.convolve","","","convolve","convolve","",""
"numpy.copy","copy","","","copy","","identity"
"numpy.copysign","copysign","copysign","copysign","copysign","",""
"numpy.copyto","copyto","","","copyto","",""
"numpy.core.records.array","","","","core.records.array","",""
"numpy.core.records.fromarrays","","","","core.records.fromarrays","",""
"numpy.core.records.fromfile","","","","core.records.fromfile","",""
"numpy.core.records.fromrecords","","","","core.records.fromrecords","",""
"numpy.core.records.fromstring","","","","core.records.fromstring","",""
"numpy.corrcoef","corrcoef","corrcoef","corrcoef","corrcoef","",""
"numpy.correlate","","","correlate","correlate","",""
"numpy.count_nonzero","count_nonzero","count_nonzero","count_nonzero","count_nonzero","","math.count_nonzero"
"numpy.cov","cov","cov","cov","cov","",""
"numpy.cross","cross","","cross","cross","cross","linalg.cross"
"numpy.datetime_as_string","","","","","",""
"numpy.datetime_data","","","","","",""
"numpy.deg2rad","deg2rad","deg2rad","deg2rad","deg2rad","",""
"numpy.degrees","degrees","degrees","degrees","degrees","",""
"numpy.delete","","","","delete","",""
"numpy.diag_indices","","","diag_indices","","",""
"numpy.diag_indices_from","","","","","",""
"numpy.diagflat","diagflat","","","diagflat","diagflat",""
"numpy.diff","diff","diff","","diff","",""
"numpy.digitize","","digitize","","digitize","",""
"numpy.divide","divide","","divide","divide","div","math.divide"
"numpy.divmod","","","divmod","divmod","",""
"numpy.dot","dot","dot","dot","dot","",""
"numpy.dsplit","dsplit","","dsplit","dsplit","",""
"numpy.dstack","dstack","dstack","dstack","dstack","",""
"numpy.ediff1d","","ediff1d","","ediff1d","",""
"numpy.einsum_path","","","","einsum_path","",""
"numpy.empty","empty","empty","empty","empty","empty",""
"numpy.empty_like","empty_like","empty_like","empty_like","empty_like","empty_like",""
"numpy.equal","equal","","equal","","eq","math.equal"
"numpy.exp2","exp2","","exp2","exp2","",""
"numpy.expand_dims","expand_dims","","expand_dims","expand_dims","unsqueeze","expand_dims"
"numpy.extract","","","","extract","",""
"numpy.fabs","","fabs","fabs","fabs","",""
"numpy.fft.fft","fft.fft","fft.fft","fft","","fft","signal.fft"
"numpy.fft.fft2","fft.fft2","fft.fft2","fft2","","","signal.fft2d"
"numpy.fft.fftfreq","fft.fftfreq","fft.fftfreq","fftfreq","","",""
"numpy.fft.fftn","fft.fftn","fft.fftn","fftn","","","signal.fft3d"
"numpy.fft.fftshift","fft.fftshift","fft.fftshift","fftshift","","","signal.fftshift"
"numpy.fft.hfft","fft.hfft","fft.hfft","","","",""
"numpy.fft.ifft","fft.ifft","fft.ifft","ifft","","ifft","signal.ifft"
"numpy.fft.ifft2","fft.ifft2","fft.ifft2","ifft2","","","signal.ifft2d"
"numpy.fft.ifftn","fft.ifftn","fft.ifftn","ifftn","","","signal.ifft3d"
"numpy.fft.ifftshift","fft.ifftshift","fft.ifftshift","ifftshift","","","signal.ifftshift"
"numpy.fft.ihfft","fft.ihfft","fft.ihfft","","","",""
"numpy.fft.irfft","fft.irfft","fft.irfft","irfft","","irfft","signal.irfft"
"numpy.fft.irfft2","fft.irfft2","fft.irfft2","irfft2","","","signal.irfft2d"
"numpy.fft.irfftn","fft.irfftn","fft.irfftn","irfftn","","","signal.irfft3d"
"numpy.fft.rfft","fft.rfft","fft.rfft","rfft","","rfft","signal.rfft"
"numpy.fft.rfft2","fft.rfft2","fft.rfft2","rfft2","","","signal.rfft2d"
"numpy.fft.rfftfreq","fft.rfftfreq","fft.rfftfreq","rfftfreq","","",""
"numpy.fft.rfftn","fft.rfftn","fft.rfftn","rfftn","","","signal.rfft3d"
"numpy.fill_diagonal","fill_diagonal","","","","","linalg.set_diag"
"numpy.find_common_type","","","","","",""
"numpy.fix","fix","fix","fix","fix","",""
"numpy.flatnonzero","flatnonzero","flatnonzero","","flatnonzero","",""
"numpy.fliplr","fliplr","fliplr","fliplr","fliplr","",""
"numpy.flipud","flipud","flipud","flipud","flipud","",""
"numpy.float_power","","","float_power","float_power","",""
"numpy.floor_divide","floor_divide","","floor_divide","floor_divide","floor_divide","math.floordiv"
"numpy.fmax","fmax","fmax","fmax","fmax","",""
"numpy.fmin","fmin","fmin","fmin","fmin","",""
"numpy.fmod","fmod","fmod","fmod","fmod","fmod",""
"numpy.format_float_positional","","","","format_float_positional","",""
"numpy.format_float_scientific","","","","format_float_scientific","",""
"numpy.frexp","frexp","frexp","frexp","frexp","",""
"numpy.frombuffer","","","","frombuffer","",""
"numpy.fromfile","fromfile","","","fromfile","",""
"numpy.fromfunction","","fromfunction","","fromfunction","",""
"numpy.fromiter","","","","fromiter","",""
"numpy.frompyfunc","","frompyfunc","","","",""
"numpy.fromregex","","","","fromregex","",""
"numpy.fromstring","","","","fromstring","",""
"numpy.full_like","full_like","full_like","full_like","full_like","full_like",""
"numpy.fv","","","","","",""
"numpy.gcd","","","gcd","gcd","",""
"numpy.genfromtxt","","","","genfromtxt","",""
"numpy.geomspace","","","geomspace","geomspace","",""
"numpy.get_printoptions","","","","get_printoptions","",""
"numpy.getbufsize","","","","","",""
"numpy.geterr","","","","","",""
"numpy.geterrcall","","","","","",""
"numpy.geterrobj","","","","","",""
"numpy.gradient","","gradient","","gradient","",""
"numpy.greater","greater","","greater","","gt","math.greater"
"numpy.greater_equal","greater_equal","","greater_equal","","ge","math.greater_equal"
"numpy.hamming","hamming","","hamming","","hamming_window",""
"numpy.hanning","hanning","","hanning","","hann_window",""
"numpy.heaviside","","","heaviside","heaviside","",""
"numpy.histogram","histogram","histogram","","histogram","histc",""
"numpy.histogram2d","","","","histogram2d","",""
"numpy.histogram_bin_edges","","","","histogram_bin_edges","",""
"numpy.histogramdd","","","","histogramdd","",""
"numpy.hsplit","hsplit","","hsplit","hsplit","",""
"numpy.hstack","hstack","hstack","hstack","hstack","",""
"numpy.hypot","hypot","hypot","hypot","hypot","",""
"numpy.i0","i0","","","i0","","math.bessel_i0"
"numpy.identity","identity","","identity","identity","",""
"numpy.in1d","in1d","","","","",""
"numpy.indices","indices","indices","","","",""
"numpy.info","","","","","",""
"numpy.inner","inner","","inner","inner","dot",""
"numpy.insert","","insert","","insert","",""
"numpy.interp","","","","interp","",""
"numpy.intersect1d","","","","","","sets.intersection"
"numpy.invert","invert","invert","","","","bitwise.invert"
"numpy.ipmt","","","","","",""
"numpy.irr","","","","","",""
"numpy.is_busday","","","","","",""
"numpy.isclose","isclose","isclose","isclose","","",""
"numpy.iscomplex","iscomplex","iscomplex","iscomplex","","is_complex",""
"numpy.iscomplexobj","iscomplexobj","","","","",""
"numpy.isfinite","isfinite","isfinite","isfinite","","isfinite","math.is_finite"
"numpy.isfortran","isfortran","","","","",""
"numpy.isin","isin","isin","","","",""
"numpy.isinf","isinf","isinf","isinf","","isinf",""
"numpy.isnan","isnan","isnan","isnan","","isnan","math.is_nan"
"numpy.isnat","","","","","",""
"numpy.isneginf","","isneginf","isneginf","","",""
"numpy.isposinf","","isposinf","isposinf","","",""
"numpy.isreal","isreal","isreal","isreal","","is_floating_point",""
"numpy.isrealobj","isrealobj","","","","",""
"numpy.isscalar","isscalar","","isscalar","","",""
"numpy.issctype","","","","","",""
"numpy.issubclass_","","","","","",""
"numpy.issubdtype","","","issubdtype","","",""
"numpy.issubsctype","","","issubsctype","","",""
"numpy.ix_","ix_","","ix_","","",""
"numpy.kaiser","","","kaiser","","",""
"numpy.kron","kron","","kron","kron","",""
"numpy.lcm","","","lcm","lcm","",""
"numpy.ldexp","ldexp","ldexp","ldexp","ldexp","",""
"numpy.left_shift","left_shift","","left_shift","","","bitwise.left_shift"
"numpy.less","less","","less","","lt","math.less"
"numpy.less_equal","less_equal","","less_equal","","le","math.less_equal"
"numpy.lexsort","lexsort","","","lexsort","",""
"numpy.linalg.cond","","","cond","linalg.cond","",""
"numpy.linalg.det","linalg.det","","det","linalg.det","det","linalg.det"
"numpy.linalg.eig","","","eig","linalg.eig","eig","linalg.eigh"
"numpy.linalg.eigh","linalg.eigh","","eigh","linalg.eigh","",""
"numpy.linalg.eigvals","","","eigvals","linalg.eigvals","","eigvals"
"numpy.linalg.eigvalsh","linalg.eigvalsh","","eigvalsh","","symeig","linalg.eigvalsh"
"numpy.linalg.lstsq","linalg.lstsq","linalg.lstsq","","linalg.lstsq","lstsq","linalg.lstsq"
"numpy.linalg.matrix_power","linalg.matrix_power","","matrix_power","linalg.matrix_power","matrix_power",""
"numpy.linalg.matrix_rank","linalg.matrix_rank","","matrix_rank","linalg.matrix_rank","matrix_rank","rank"
"numpy.linalg.multi_dot","","","multi_dot","linalg.multi_dot","",""
"numpy.linalg.pinv","linalg.pinv","","pinv","linalg.pinv","","linalg.pinv"
"numpy.linalg.slogdet","linalg.slogdet","","slogdet","linalg.slogdet","slogdet","linalg.slogdet"
"numpy.linalg.tensorinv","linalg.tensorinv","","tensorinv","linalg.tensorinv","",""
"numpy.linalg.tensorsolve","linalg.tensorsolve","","tensorsolve","linalg.tensorsolve","",""
"numpy.load","load","","","load","",""
"numpy.loadtxt","","","","loadtxt","",""
"numpy.log10","log10","log10","log10","log10","log10",""
"numpy.log2","log2","log2","log2","log2","log2",""
"numpy.logaddexp2","logaddexp2","logaddexp2","logaddexp2","logaddexp2","",""
"numpy.logical_and","logical_and","logical_and","logical_and","","logical_and","math.logical_and"
"numpy.logical_not","logical_not","logical_not","logical_not","","logical_not","math.logical_not"
"numpy.logical_or","logical_or","logical_or","logical_or","","logical_or","math.logical_or"
"numpy.logical_xor","logical_xor","logical_xor","logical_xor","","logical_xor","math.logical_xor"
"numpy.logspace","logspace","","logspace","logspace","logspace",""
"numpy.lookfor","","","","","",""
"numpy.ma.all","","","","","",""
"numpy.ma.allclose","","","","","",""
"numpy.ma.allequal","","","","","",""
"numpy.ma.anom","","","","","",""
"numpy.ma.anomalies","","","","","",""
"numpy.ma.any","","","","","",""
"numpy.ma.append","","","","","",""
"numpy.ma.apply_along_axis","","","","","",""
"numpy.ma.arange","","","","","",""
"numpy.ma.argmax","","","","","",""
"numpy.ma.argmin","","","","","",""
"numpy.ma.argsort","","","","","",""
"numpy.ma.around","","","","","",""
"numpy.ma.array","","","","","",""
"numpy.ma.asanyarray","","","","","",""
"numpy.ma.asarray","","","","","",""
"numpy.ma.atleast_1d","","","","","",""
"numpy.ma.atleast_2d","","","","","",""
"numpy.ma.atleast_3d","","","","","",""
"numpy.ma.average","","ma.average","","","",""
"numpy.ma.choose","","","","","",""
"numpy.ma.clip","","","","","",""
"numpy.ma.clump_masked","","","","","",""
"numpy.ma.clump_unmasked","","","","","",""
"numpy.ma.column_stack","","","","","",""
"numpy.ma.common_fill_value","","","","","",""
"numpy.ma.compress_cols","","","","","",""
"numpy.ma.compress_rowcols","","","","","",""
"numpy.ma.compress_rows","","","","","",""
"numpy.ma.compressed","","","","","",""
"numpy.ma.concatenate","","","","","",""
"numpy.ma.conjugate","","","","","",""
"numpy.ma.copy","","","","","",""
"numpy.ma.corrcoef","","","","","",""
"numpy.ma.count","","","","","",""
"numpy.ma.count_masked","","","","","",""
"numpy.ma.cov","","","","","",""
"numpy.ma.cumprod","","","","","",""
"numpy.ma.cumsum","","","","","",""
"numpy.ma.default_fill_value","","","","","",""
"numpy.ma.diag","","","","","",""
"numpy.ma.dot","","","","","",""
"numpy.ma.dstack","","","","","",""
"numpy.ma.dump","","","","","",""
"numpy.ma.dumps","","","","","",""
"numpy.ma.ediff1d","","","","","",""
"numpy.ma.empty","","","","","",""
"numpy.ma.empty_like","","","","","",""
"numpy.ma.expand_dims","","","","","",""
"numpy.ma.filled","","ma.filled","","","",""
"numpy.ma.fix_invalid","","ma.fix_invalid","","","",""
"numpy.ma.flatnotmasked_contiguous","","","","","",""
"numpy.ma.flatnotmasked_edges","","","","","",""
"numpy.ma.frombuffer","","","","","",""
"numpy.ma.fromfunction","","","","","",""
"numpy.ma.getdata","","ma.getdata","","","",""
"numpy.ma.getmask","","","","","",""
"numpy.ma.getmaskarray","","ma.getmaskarray","","","",""
"numpy.ma.harden_mask","","","","","",""
"numpy.ma.hsplit","","","","","",""
"numpy.ma.hstack","","","","","",""
"numpy.ma.identity","","","","","",""
"numpy.ma.indices","","","","","",""
"numpy.ma.inner","","","","","",""
"numpy.ma.innerproduct","","","","","",""
"numpy.ma.is_mask","","","","","",""
"numpy.ma.is_masked","","","","","",""
"numpy.ma.load","","","","","",""
"numpy.ma.loads","","","","","",""
"numpy.ma.make_mask","","","","","",""
"numpy.ma.make_mask_descr","","","","","",""
"numpy.ma.make_mask_none","","","","","",""
"numpy.ma.mask_cols","","","","","",""
"numpy.ma.mask_or","","","","","",""
"numpy.ma.mask_rowcols","","","","","",""
"numpy.ma.mask_rows","","","","","",""
"numpy.ma.masked_all","","","","","",""
"numpy.ma.masked_all_like","","","","","",""
"numpy.ma.masked_equal","","ma.masked_equal","","","",""
"numpy.ma.masked_greater","","ma.masked_greater","","","",""
"numpy.ma.masked_greater_equal","","ma.masked_greater_equal","","","",""
"numpy.ma.masked_inside","","ma.masked_inside","","","",""
"numpy.ma.masked_invalid","","ma.masked_invalid","","","",""
"numpy.ma.masked_less","","ma.masked_less","","","",""
"numpy.ma.masked_less_equal","","ma.masked_less_equal","","","",""
"numpy.ma.masked_not_equal","","ma.masked_not_equal","","","",""
"numpy.ma.masked_object","","","","","",""
"numpy.ma.masked_outside","","ma.masked_outside","","","",""
"numpy.ma.masked_values","","ma.masked_values","","","",""
"numpy.ma.masked_where","","ma.masked_where","","","masked_select",""
"numpy.ma.max","","","","","",""
"numpy.ma.maximum_fill_value","","","","","",""
"numpy.ma.mean","","","","","",""
"numpy.ma.median","","","","","",""
"numpy.ma.min","","","","","",""
"numpy.ma.nonzero","","","","","",""
"numpy.ma.notmasked_contiguous","","","","","",""
"numpy.ma.notmasked_edges","","","","","",""
"numpy.ma.ones","","","","","",""
"numpy.ma.outer","","","","","",""
"numpy.ma.outerproduct","","","","","",""
"numpy.ma.polyfit","","","","","",""
"numpy.ma.power","","","","","",""
"numpy.ma.prod","","","","","",""
"numpy.ma.ptp","","","","","",""
"numpy.ma.ravel","","","","","",""
"numpy.ma.reshape","","","","","",""
"numpy.ma.resize","","","","","",""
"numpy.ma.round","","","","","",""
"numpy.ma.row_stack","","","","","",""
"numpy.ma.set_fill_value","","ma.set_fill_value","","","",""
"numpy.ma.shape","","","","","",""
"numpy.ma.size","","","","","",""
"numpy.ma.soften_mask","","","","","",""
"numpy.ma.sort","","","","","",""
"numpy.ma.squeeze","","","","","",""
"numpy.ma.stack","","","","","",""
"numpy.ma.std","","","","","",""
"numpy.ma.sum","","","","","",""
"numpy.ma.swapaxes","","","","","",""
"numpy.ma.trace","","","","","",""
"numpy.ma.transpose","","","","","",""
"numpy.ma.vander","","","","","",""
"numpy.ma.var","","","","","",""
"numpy.ma.vstack","","","","","",""
"numpy.ma.where","","","","","",""
"numpy.ma.zeros","","","","","",""
"numpy.mask_indices","","","","","",""
"numpy.mat","","","","mat","",""
"numpy.matlib.empty","","","","","",""
"numpy.matlib.eye","","","","","",""
"numpy.matlib.identity","","","","","",""
"numpy.matlib.ones","","","","","",""
"numpy.matlib.rand","","","","","",""
"numpy.matlib.randn","","","","","",""
"numpy.matlib.repmat","","","","","",""
"numpy.matlib.zeros","","","","","",""
"numpy.maximum_sctype","","","","","",""
"numpy.may_share_memory","","","","","",""
"numpy.median","","median","median","median","median",""
"numpy.min_scalar_type","","","","","",""
"numpy.mintypecode","","","","","",""
"numpy.mirr","","","","","",""
"numpy.mod","mod","","mod","mod","","math.floormod"
"numpy.modf","modf","modf","","modf","",""
"numpy.moveaxis","moveaxis","moveaxis","moveaxis","moveaxis","",""
"numpy.msort","msort","","msort","msort","",""
"numpy.multiply","multiply","","multiply","multiply","mul","math.multiply"
"numpy.nan_to_num","nan_to_num","nan_to_num","nan_to_num","nan_to_num","",""
"numpy.nanargmax","nanargmax","nanargmax","","nanargmax","",""
"numpy.nanargmin","nanargmin","nanargmin","","nanargmin","",""
"numpy.nancumprod","","nancumprod","nancumprod","nancumprod","",""
"numpy.nancumsum","","nancumsum","nancumsum","nancumsum","",""
"numpy.nanmax","nanmax","nanmax","nanmax","nanmax","",""
"numpy.nanmean","nanmean","nanmean","","nanmean","",""
"numpy.nanmedian","","nanmedian","","nanmedian","",""
"numpy.nanmin","nanmin","nanmin","nanmin","nanmin","",""
"numpy.nanpercentile","","","","nanpercentile","",""
"numpy.nanprod","nanprod","nanprod","nanprod","nanprod","",""
"numpy.nanquantile","","","","nanquantile","",""
"numpy.nanstd","nanstd","nanstd","","nanstd","",""
"numpy.nansum","nansum","nansum","nansum","nansum","",""
"numpy.nanvar","nanvar","nanvar","","nanvar","",""
"numpy.negative","negative","","negative","negative","neg","math.negative"
"numpy.nested_iters","","","","","",""
"numpy.nextafter","nextafter","nextafter","nextafter","nextafter","","math.nextafter"
"numpy.nonzero","nonzero","nonzero","nonzero","nonzero","nonzero",""
"numpy.not_equal","not_equal","","not_equal","","ne","math.not_equal"
"numpy.nper","","","","","",""
"numpy.npv","","","","","",""
"numpy.obj2sctype","","","","","",""
"numpy.outer","outer","outer","outer","outer","ger",""
"numpy.packbits","packbits","","packbits","","",""
"numpy.pad","pad","pad","pad","","","pad"
"numpy.partition","partition","","","partition","",""
"numpy.percentile","percentile","percentile","percentile","percentile","",""
"numpy.piecewise","","piecewise","","","",""
"numpy.place","place","","","","",""
"numpy.pmt","","","","","",""
"numpy.poly","","","","","",""
"numpy.polyadd","","","","","",""
"numpy.polyder","","","","","",""
"numpy.polydiv","","","","","",""
"numpy.polyfit","","","","","",""
"numpy.polyint","","","","","",""
"numpy.polymul","","","","","",""
"numpy.polynomial.chebyshev.cheb2poly","","","","","",""
"numpy.polynomial.chebyshev.chebadd","","","","","",""
"numpy.polynomial.chebyshev.chebcompanion","","","","","",""
"numpy.polynomial.chebyshev.chebder","","","","","",""
"numpy.polynomial.chebyshev.chebdiv","","","","","",""
"numpy.polynomial.chebyshev.chebfit","","","","","",""
"numpy.polynomial.chebyshev.chebfromroots","","","","","",""
"numpy.polynomial.chebyshev.chebgauss","","","","","",""
"numpy.polynomial.chebyshev.chebgrid2d","","","","","",""
"numpy.polynomial.chebyshev.chebgrid3d","","","","","",""
"numpy.polynomial.chebyshev.chebint","","","","","",""
"numpy.polynomial.chebyshev.chebline","","","","","",""
"numpy.polynomial.chebyshev.chebmul","","","","","",""
"numpy.polynomial.chebyshev.chebmulx","","","","","",""
"numpy.polynomial.chebyshev.chebpow","","","","","",""
"numpy.polynomial.chebyshev.chebroots","","","","","",""
"numpy.polynomial.chebyshev.chebsub","","","","","",""
"numpy.polynomial.chebyshev.chebtrim","","","","","",""
"numpy.polynomial.chebyshev.chebval","","","","","",""
"numpy.polynomial.chebyshev.chebval2d","","","","","",""
"numpy.polynomial.chebyshev.chebval3d","","","","","",""
"numpy.polynomial.chebyshev.chebvander","","","","","",""
"numpy.polynomial.chebyshev.chebvander2d","","","","","",""
"numpy.polynomial.chebyshev.chebvander3d","","","","","",""
"numpy.polynomial.chebyshev.chebweight","","","","","",""
"numpy.polynomial.chebyshev.poly2cheb","","","","","",""
"numpy.polynomial.hermite.herm2poly","","","","","",""
"numpy.polynomial.hermite.hermadd","","","","","",""
"numpy.polynomial.hermite.hermcompanion","","","","","",""
"numpy.polynomial.hermite.hermder","","","","","",""
"numpy.polynomial.hermite.hermdiv","","","","","",""
"numpy.polynomial.hermite.hermfit","","","","","",""
"numpy.polynomial.hermite.hermfromroots","","","","","",""
"numpy.polynomial.hermite.hermgauss","","","","","",""
"numpy.polynomial.hermite.hermgrid2d","","","","","",""
"numpy.polynomial.hermite.hermgrid3d","","","","","",""
"numpy.polynomial.hermite.hermint","","","","","",""
"numpy.polynomial.hermite.hermline","","","","","",""
"numpy.polynomial.hermite.hermmul","","","","","",""
"numpy.polynomial.hermite.hermmulx","","","","","",""
"numpy.polynomial.hermite.hermpow","","","","","",""
"numpy.polynomial.hermite.hermroots","","","","","",""
"numpy.polynomial.hermite.hermsub","","","","","",""
"numpy.polynomial.hermite.hermtrim","","","","","",""
"numpy.polynomial.hermite.hermval","","","","","",""
"numpy.polynomial.hermite.hermval2d","","","","","",""
"numpy.polynomial.hermite.hermval3d","","","","","",""
"numpy.polynomial.hermite.hermvander","","","","","",""
"numpy.polynomial.hermite.hermvander2d","","","","","",""
"numpy.polynomial.hermite.hermvander3d","","","","","",""
"numpy.polynomial.hermite.hermweight","","","","","",""
"numpy.polynomial.hermite.poly2herm","","","","","",""
"numpy.polynomial.hermite_e.herme2poly","","","","","",""
"numpy.polynomial.hermite_e.hermeadd","","","","","",""
"numpy.polynomial.hermite_e.hermecompanion","","","","","",""
"numpy.polynomial.hermite_e.hermeder","","","","","",""
"numpy.polynomial.hermite_e.hermediv","","","","","",""
"numpy.polynomial.hermite_e.hermefit","","","","","",""
"numpy.polynomial.hermite_e.hermefromroots","","","","","",""
"numpy.polynomial.hermite_e.hermegauss","","","","","",""
"numpy.polynomial.hermite_e.hermegrid2d","","","","","",""
"numpy.polynomial.hermite_e.hermegrid3d","","","","","",""
"numpy.polynomial.hermite_e.hermeint","","","","","",""
"numpy.polynomial.hermite_e.hermeline","","","","","",""
"numpy.polynomial.hermite_e.hermemul","","","","","",""
"numpy.polynomial.hermite_e.hermemulx","","","","","",""
"numpy.polynomial.hermite_e.hermepow","","","","","",""
"numpy.polynomial.hermite_e.hermeroots","","","","","",""
"numpy.polynomial.hermite_e.hermesub","","","","","",""
"numpy.polynomial.hermite_e.hermetrim","","","","","",""
"numpy.polynomial.hermite_e.hermeval","","","","","",""
"numpy.polynomial.hermite_e.hermeval2d","","","","","",""
"numpy.polynomial.hermite_e.hermeval3d","","","","","",""
"numpy.polynomial.hermite_e.hermevander","","","","","",""
"numpy.polynomial.hermite_e.hermevander2d","","","","","",""
"numpy.polynomial.hermite_e.hermevander3d","","","","","",""
"numpy.polynomial.hermite_e.hermeweight","","","","","",""
"numpy.polynomial.hermite_e.poly2herme","","","","","",""
"numpy.polynomial.laguerre.lag2poly","","","","","",""
"numpy.polynomial.laguerre.lagadd","","","","","",""
"numpy.polynomial.laguerre.lagcompanion","","","","","",""
"numpy.polynomial.laguerre.lagder","","","","","",""
"numpy.polynomial.laguerre.lagdiv","","","","","",""
"numpy.polynomial.laguerre.lagfit","","","","","",""
"numpy.polynomial.laguerre.lagfromroots","","","","","",""
"numpy.polynomial.laguerre.laggauss","","","","","",""
"numpy.polynomial.laguerre.laggrid2d","","","","","",""
