numpy,cupy,dask.array,jax,mxnet,pytorch,tensorflow
"numpy.ma.anom","","","","","",""
"numpy.ma.anomalies","","","","","",""
"numpy.ma.any","","","","","",""
"numpy.ma.append","","","","","",""
"numpy.ma.apply_along_axis","","","","","",""
"numpy.ma.arange","","","","","",""
"numpy.ma.argmax","","","","","",""
"numpy.ma.argmin","","","","","",""
"numpy.ma.argsort","","","","","",""
"numpy.ma.around","","","","","",""
"numpy.ma.array","","","","","",""
"numpy.ma.asanyarray","","","","","",""
"numpy.ma.asarray","","","","","",""
"numpy.ma.atleast_1d","","","","","",""
"numpy.ma.atleast_2d","","","","","",""
"numpy.ma.atleast_3d","","","","","",""
"numpy.ma.average","","ma.average","","","",""
"numpy.ma.choose","","","","","",""
"numpy.ma.clip","","","","","",""
"numpy.ma.clump_masked","","","","","",""
"numpy.ma.clump_unmasked","","","","","",""
"numpy.ma.column_stack","","","","","",""
"numpy.ma.common_fill_value","","","","","",""
"numpy.ma.compress_cols","","","","","",""
"numpy.ma.compress_rowcols","","","","","",""
"numpy.ma.compress_rows","","","","","",""
"numpy.ma.compressed","","","","","",""
"numpy.ma.concatenate","","","","","",""
"numpy.ma.conjugate","","","","","",""
"numpy.ma.copy","","","","","",""
"numpy.ma.corrcoef","","","","","",""
"numpy.ma.count","","","","","",""
"numpy.ma.count_masked","","","","","",""
"numpy.ma.cov","","","","","",""
"numpy.ma.cumprod","","","","","",""
"numpy.ma.cumsum","","","","","",""
"numpy.ma.default_fill_value","","","","","",""
"numpy.ma.diag","","","","","",""
"numpy.ma.dot","","","","","",""
"numpy.ma.dstack","","","","","",""
"numpy.ma.dump","","","","","",""
"numpy.ma.dumps","","","","","",""
"numpy.ma.ediff1d","","","","","",""
"numpy.ma.empty","","","","","",""
"numpy.ma.empty_like","","","","","",""
"numpy.ma.expand_dims","","","","","",""
"numpy.ma.filled","","ma.filled","","","",""
"numpy.ma.fix_invalid","","ma.fix_invalid","","","",""
"numpy.ma.flatnotmasked_contiguous","","","","","",""
"numpy.ma.flatnotmasked_edges","","","","","",""
"numpy.ma.frombuffer","","","","","",""
"numpy.ma.fromfunction","","","","","",""
"numpy.ma.getdata","","ma.getdata","","","",""
"numpy.ma.getmask","","","","","",""
"numpy.ma.getmaskarray","","ma.getmaskarray","","","",""
"numpy.ma.harden_mask","","","","","",""
"numpy.ma.hsplit","","","","","",""
"numpy.ma.hstack","","","","","",""
"numpy.ma.identity","","","","","",""
"numpy.ma.indices","","","","","",""
"numpy.ma.inner","","","","","",""
"numpy.ma.innerproduct","","","","","",""
"numpy.ma.is_mask","","","","","",""
"numpy.ma.is_masked","","","","","",""
"numpy.ma.load","","","","","",""
"numpy.ma.loads","","","","","",""
"numpy.ma.make_mask","","","","","",""
"numpy.ma.make_mask_descr","","","","","",""
"numpy.ma.make_mask_none","","","","","",""
"numpy.ma.mask_cols","","","","","",""
"numpy.ma.mask_or","","","","","",""
"numpy.ma.mask_rowcols","","","","","",""
"numpy.ma.mask_rows","","","","","",""
"numpy.ma.masked_all","","","","","",""
"numpy.ma.masked_all_like","","","","","",""
"numpy.ma.masked_equal","","ma.masked_equal","","","",""
"numpy.ma.masked_greater","","ma.masked_greater","","","",""
"numpy.ma.masked_greater_equal","","ma.masked_greater_equal","","","",""
"numpy.ma.masked_inside","","ma.masked_inside","","","",""
"numpy.ma.masked_invalid","","ma.masked_invalid","","","",""
"numpy.ma.masked_less","","ma.masked_less","","","",""
"numpy.ma.masked_less_equal","","ma.masked_less_equal","","","",""
"numpy.ma.masked_not_equal","","ma.masked_not_equal","","","",""
"numpy.ma.masked_object","","","","","",""
"numpy.ma.masked_outside","","ma.masked_outside","","","",""
"numpy.ma.masked_values","","ma.masked_values","","","",""
"numpy.ma.masked_where","","ma.masked_where","","","masked_select",""
"numpy.ma.max","","","","","",""
"numpy.ma.maximum_fill_value","","","","","",""
"numpy.ma.mean","","","","","",""
"numpy.ma.median","","","","","",""
"numpy.ma.min","","","","","",""
"numpy.ma.nonzero","","","","","",""
"numpy.ma.notmasked_contiguous","","","","","",""
"numpy.ma.notmasked_edges","","","","","",""
"numpy.ma.ones","","","","","",""
"numpy.ma.outer","","","","","",""
"numpy.ma.outerproduct","","","","","",""
"numpy.ma.polyfit","","","","","",""
"numpy.ma.power","","","","","",""
"numpy.ma.prod","","","","","",""
"numpy.ma.ptp","","","","","",""
"numpy.ma.ravel","","","","","",""
"numpy.ma.reshape","","","","","",""
"numpy.ma.resize","","","","","",""
"numpy.ma.round","","","","","",""
"numpy.ma.row_stack","","","","","",""
"numpy.ma.set_fill_value","","ma.set_fill_value","","","",""
"numpy.ma.shape","","","","","",""
"numpy.ma.size","","","","","",""
"numpy.ma.soften_mask","","","","","",""
"numpy.ma.sort","","","","","",""
"numpy.ma.squeeze","","","","","",""
"numpy.ma.stack","","","","","",""
"numpy.ma.std","","","","","",""
"numpy.ma.sum","","","","","",""
"numpy.ma.swapaxes","","","","","",""
"numpy.ma.trace","","","","","",""
"numpy.ma.transpose","","","","","",""
"numpy.ma.vander","","","","","",""
"numpy.ma.var","","","","","",""
"numpy.ma.vstack","","","","","",""
"numpy.ma.where","","","","","",""
"numpy.ma.zeros","","","","","",""
"numpy.mask_indices","","","","","",""
"numpy.mat","","","","mat","",""
"numpy.matlib.empty","","","","","",""
"numpy.matlib.eye","","","","","",""
"numpy.matlib.identity","","","","","",""
"numpy.matlib.ones","","","","","",""
"numpy.matlib.rand","","","","","",""
"numpy.matlib.randn","","","","","",""
"numpy.matlib.repmat","","","","","",""
"numpy.matlib.zeros","","","","","",""
"numpy.maximum_sctype","","","","","",""
"numpy.may_share_memory","","","","","",""
"numpy.min_scalar_type","","","","","",""
"numpy.mintypecode","","","","","",""
"numpy.mirr","","","","","",""
"numpy.mod","mod","","mod","mod","",""
"numpy.modf","modf","modf","","modf","",""
"numpy.msort","msort","","msort","msort","",""
"numpy.nanargmax","nanargmax","nanargmax","","nanargmax","",""
"numpy.nanargmin","nanargmin","nanargmin","","nanargmin","",""
"numpy.nancumprod","","nancumprod","nancumprod","nancumprod","",""
"numpy.nancumsum","","nancumsum","nancumsum","nancumsum","",""
"numpy.nanmean","nanmean","nanmean","","nanmean","",""
"numpy.nanmedian","","nanmedian","","nanmedian","",""
"numpy.nanpercentile","","","","nanpercentile","",""
"numpy.nanquantile","","","","nanquantile","",""
"numpy.nanstd","nanstd","nanstd","","nanstd","",""
"numpy.nanvar","nanvar","nanvar","","nanvar","",""
"numpy.nested_iters","","","","","",""
"numpy.nper","","","","","",""
"numpy.npv","","","","","",""
"numpy.obj2sctype","","","","","",""
"numpy.packbits","packbits","","packbits","","",""
"numpy.partition","partition","","","partition","",""
"numpy.piecewise","","piecewise","","","",""
"numpy.place","place","","","","",""
"numpy.pmt","","","","","",""
"numpy.poly","","","","","",""
"numpy.polyadd","","","","","",""
"numpy.polyder","","","","","",""
"numpy.polydiv","","","","","",""
"numpy.polyfit","","","","","",""
"numpy.polyint","","","","","",""
"numpy.polymul","","","","","",""
"numpy.polynomial.chebyshev.cheb2poly","","","","","",""
"numpy.polynomial.chebyshev.chebadd","","","","","",""
"numpy.polynomial.chebyshev.chebcompanion","","","","","",""
"numpy.polynomial.chebyshev.chebder","","","","","",""
"numpy.polynomial.chebyshev.chebdiv","","","","","",""
"numpy.polynomial.chebyshev.chebfit","","","","","",""
"numpy.polynomial.chebyshev.chebfromroots","","","","","",""
"numpy.polynomial.chebyshev.chebgauss","","","","","",""
"numpy.polynomial.chebyshev.chebgrid2d","","","","","",""
"numpy.polynomial.chebyshev.chebgrid3d","","","","","",""
"numpy.polynomial.chebyshev.chebint","","","","","",""
"numpy.polynomial.chebyshev.chebline","","","","","",""
"numpy.polynomial.chebyshev.chebmul","","","","","",""
"numpy.polynomial.chebyshev.chebmulx","","","","","",""
"numpy.polynomial.chebyshev.chebpow","","","","","",""
"numpy.polynomial.chebyshev.chebroots","","","","","",""
"numpy.polynomial.chebyshev.chebsub","","","","","",""
"numpy.polynomial.chebyshev.chebtrim","","","","","",""
"numpy.polynomial.chebyshev.chebval","","","","","",""
"numpy.polynomial.chebyshev.chebval2d","","","","","",""
"numpy.polynomial.chebyshev.chebval3d","","","","","",""
"numpy.polynomial.chebyshev.chebvander","","","","","",""
"numpy.polynomial.chebyshev.chebvander2d","","","","","",""
"numpy.polynomial.chebyshev.chebvander3d","","","","","",""
"numpy.polynomial.chebyshev.chebweight","","","","","",""
"numpy.polynomial.chebyshev.poly2cheb","","","","","",""
"numpy.polynomial.hermite.herm2poly","","","","","",""
"numpy.polynomial.hermite.hermadd","","","","","",""
"numpy.polynomial.hermite.hermcompanion","","","","","",""
"numpy.polynomial.hermite.hermder","","","","","",""
"numpy.polynomial.hermite.hermdiv","","","","","",""
"numpy.polynomial.hermite.hermfit","","","","","",""
"numpy.polynomial.hermite.hermfromroots","","","","","",""
"numpy.polynomial.hermite.hermgauss","","","","","",""
"numpy.polynomial.hermite.hermgrid2d","","","","","",""
"numpy.polynomial.hermite.hermgrid3d","","","","","",""
"numpy.polynomial.hermite.hermint","","","","","",""
"numpy.polynomial.hermite.hermline","","","","","",""
"numpy.polynomial.hermite.hermmul","","","","","",""
"numpy.polynomial.hermite.hermmulx","","","","","",""
"numpy.polynomial.hermite.hermpow","","","","","",""
"numpy.polynomial.hermite.hermroots","","","","","",""
"numpy.polynomial.hermite.hermsub","","","","","",""
"numpy.polynomial.hermite.hermtrim","","","","","",""
"numpy.polynomial.hermite.hermval","","","","","",""
"numpy.polynomial.hermite.hermval2d","","","","","",""
"numpy.polynomial.hermite.hermval3d","","","","","",""
"numpy.polynomial.hermite.hermvander","","","","","",""
"numpy.polynomial.hermite.hermvander2d","","","","","",""
"numpy.polynomial.hermite.hermvander3d","","","","","",""
"numpy.polynomial.hermite.hermweight","","","","","",""
"numpy.polynomial.hermite.poly2herm","","","","","",""
"numpy.polynomial.hermite_e.herme2poly","","","","","",""
"numpy.polynomial.hermite_e.hermeadd","","","","","",""
"numpy.polynomial.hermite_e.hermecompanion","","","","","",""
"numpy.polynomial.hermite_e.hermeder","","","","","",""
"numpy.polynomial.hermite_e.hermediv","","","","","",""
"numpy.polynomial.hermite_e.hermefit","","","","","",""
"numpy.polynomial.hermite_e.hermefromroots","","","","","",""
"numpy.polynomial.hermite_e.hermegauss","","","","","",""
"numpy.polynomial.hermite_e.hermegrid2d","","","","","",""
"numpy.polynomial.hermite_e.hermegrid3d","","","","","",""
"numpy.polynomial.hermite_e.hermeint","","","","","",""
"numpy.polynomial.hermite_e.hermeline","","","","","",""
"numpy.polynomial.hermite_e.hermemul","","","","","",""
"numpy.polynomial.hermite_e.hermemulx","","","","","",""
"numpy.polynomial.hermite_e.hermepow","","","","","",""
"numpy.polynomial.hermite_e.hermeroots","","","","","",""
"numpy.polynomial.hermite_e.hermesub","","","","","",""
"numpy.polynomial.hermite_e.hermetrim","","","","","",""
"numpy.polynomial.hermite_e.hermeval","","","","","",""
"numpy.polynomial.hermite_e.hermeval2d","","","","","",""
"numpy.polynomial.hermite_e.hermeval3d","","","","","",""
"numpy.polynomial.hermite_e.hermevander","","","","","",""
"numpy.polynomial.hermite_e.hermevander2d","","","","","",""
"numpy.polynomial.hermite_e.hermevander3d","","","","","",""
"numpy.polynomial.hermite_e.hermeweight","","","","","",""
"numpy.polynomial.hermite_e.poly2herme","","","","","",""
"numpy.polynomial.laguerre.lag2poly","","","","","",""
"numpy.polynomial.laguerre.lagadd","","","","","",""
"numpy.polynomial.laguerre.lagcompanion","","","","","",""
"numpy.polynomial.laguerre.lagder","","","","","",""
"numpy.polynomial.laguerre.lagdiv","","","","","",""
"numpy.polynomial.laguerre.lagfit","","","","","",""
"numpy.polynomial.laguerre.lagfromroots","","","","","",""
"numpy.polynomial.laguerre.laggauss","","","","","",""
"numpy.polynomial.laguerre.laggrid2d","","","","","",""
"numpy.polynomial.laguerre.laggrid3d","","","","","",""
"numpy.polynomial.laguerre.lagint","","","","","",""
"numpy.polynomial.laguerre.lagline","","","","","",""
"numpy.polynomial.laguerre.lagmul","","","","","",""
"numpy.polynomial.laguerre.lagmulx","","","","","",""
"numpy.polynomial.laguerre.lagpow","","","","","",""
"numpy.polynomial.laguerre.lagroots","","","","","",""
"numpy.polynomial.laguerre.lagsub","","","","","",""
"numpy.polynomial.laguerre.lagtrim","","","","","",""
"numpy.polynomial.laguerre.lagval","","","","","",""
"numpy.polynomial.laguerre.lagval2d","","","","","",""
"numpy.polynomial.laguerre.lagval3d","","","","","",""
"numpy.polynomial.laguerre.lagvander","","","","","",""
"numpy.polynomial.laguerre.lagvander2d","","","","","",""
"numpy.polynomial.laguerre.lagvander3d","","","","","",""
"numpy.polynomial.laguerre.lagweight","","","","","",""
"numpy.polynomial.laguerre.poly2lag","","","","","",""
"numpy.polynomial.legendre.leg2poly","","","","","",""
"numpy.polynomial.legendre.legadd","","","","","",""
"numpy.polynomial.legendre.legcompanion","","","","","",""
"numpy.polynomial.legendre.legder","","","","","",""
"numpy.polynomial.legendre.legdiv","","","","","",""
"numpy.polynomial.legendre.legfit","","","","","",""
"numpy.polynomial.legendre.legfromroots","","","","","",""
"numpy.polynomial.legendre.leggauss","","","","","",""
"numpy.polynomial.legendre.leggrid2d","","","","","",""
"numpy.polynomial.legendre.leggrid3d","","","","","",""
"numpy.polynomial.legendre.legint","","","","","",""
"numpy.polynomial.legendre.legline","","","","","",""
"numpy.polynomial.legendre.legmul","","","","","",""
"numpy.polynomial.legendre.legmulx","","","","","",""
"numpy.polynomial.legendre.legpow","","","","","",""
"numpy.polynomial.legendre.legroots","","","","","",""
"numpy.polynomial.legendre.legsub","","","","","",""
"numpy.polynomial.legendre.legtrim","","","","","",""
"numpy.polynomial.legendre.legval","","","","","",""
"numpy.polynomial.legendre.legval2d","","","","","",""
"numpy.polynomial.legendre.legval3d","","","","","",""
"numpy.polynomial.legendre.legvander","","","","","",""
"numpy.polynomial.legendre.legvander2d","","","","","",""
"numpy.polynomial.legendre.legvander3d","","","","","",""
"numpy.polynomial.legendre.legweight","","","","","",""
"numpy.polynomial.legendre.poly2leg","","","","","",""
"numpy.polynomial.polynomial.polyadd","","","","","",""
"numpy.polynomial.polynomial.polycompanion","","","","","",""
"numpy.polynomial.polynomial.polyder","","","","","",""
"numpy.polynomial.polynomial.polydiv","","","","","",""
"numpy.polynomial.polynomial.polyfit","","","","","",""
"numpy.polynomial.polynomial.polyfromroots","","","","","",""
"numpy.polynomial.polynomial.polygrid2d","","","","","",""
"numpy.polynomial.polynomial.polygrid3d","","","","","",""
"numpy.polynomial.polynomial.polyint","","","","","",""
"numpy.polynomial.polynomial.polyline","","","","","",""
"numpy.polynomial.polynomial.polymul","","","","","",""
"numpy.polynomial.polynomial.polymulx","","","","","",""
"numpy.polynomial.polynomial.polypow","","","","","",""
"numpy.polynomial.polynomial.polyroots","","","","","",""
"numpy.polynomial.polynomial.polysub","","","","","",""
"numpy.polynomial.polynomial.polytrim","","","","","",""
"numpy.polynomial.polynomial.polyval","","","","","","math.polyval"
"numpy.polynomial.polynomial.polyval2d","","","","","",""
"numpy.polynomial.polynomial.polyval3d","","","","","",""
"numpy.polynomial.polynomial.polyvalfromroots","","","","","",""
"numpy.polynomial.polynomial.polyvander","","","","","",""
"numpy.polynomial.polynomial.polyvander2d","","","","","",""
"numpy.polynomial.polynomial.polyvander3d","","","","","",""
"numpy.polynomial.polyutils.as_series","","","","","",""
"numpy.polynomial.polyutils.getdomain","","","","","",""
"numpy.polynomial.polyutils.mapdomain","","","","","",""
"numpy.polynomial.polyutils.mapparms","","","","","",""
"numpy.polynomial.polyutils.trimcoef","","","","","",""
"numpy.polynomial.polyutils.trimseq","","","","","",""
"numpy.polysub","","","","","",""
"numpy.polyval","","","polyval","","",""
"numpy.positive","","","positive","positive","",""
"numpy.ppmt","","","","","",""
"numpy.printoptions","","","","printoptions","",""
"numpy.promote_types","","","promote_types","","promote_types",""
"numpy.ptp","","ptp","ptp","ptp","",""
"numpy.put","put","","","","",""
"numpy.put_along_axis","","","","","",""
"numpy.putmask","","","","","",""
"numpy.pv","","","","","",""
"numpy.quantile","","","quantile","quantile","",""
"numpy.random.default_rng","","","","","",""
"numpy.random.entropy.random_entropy","","","","","",""
"numpy.rate","","","","","",""
"numpy.ravel_multi_index","","","","","",""
"numpy.real_if_close","","","","real_if_close","",""
"numpy.require","","","","require","",""
"numpy.resize","","","","resize","",""
"numpy.right_shift","right_shift","","right_shift","","","bitwise.right_shift"
"numpy.roots","","","roots","","",""
"numpy.save","save","","","save","",""
"numpy.savetxt","","","","savetxt","",""
"numpy.savez","savez","","","savez","",""
"numpy.savez_compressed","savez_compressed","","","savez_compressed","",""
"numpy.sctype2char","","","","","",""
"numpy.searchsorted","searchsorted","","","searchsorted","","searchsorted"
"numpy.select","","","select","","",""
"numpy.set_printoptions","","","","set_printoptions","",""
"numpy.set_string_function","","","","set_string_function","",""
"numpy.setbufsize","","","","","",""
"numpy.setdiff1d","","","","","","sets.difference"
"numpy.seterr","","","","","",""
"numpy.seterrcall","","","","","",""
"numpy.seterrobj","","","","","",""
"numpy.setxor1d","","","","","",""
"numpy.shares_memory","","","","","",""
"numpy.sinc","sinc","","sinc","sinc","",""
"numpy.sort_complex","","","","sort_complex","",""
"numpy.source","","","","","",""
"numpy.spacing","","","","spacing","",""
"numpy.swapaxes","swapaxes","","swapaxes","swapaxes","",""
"numpy.take_along_axis","take_along_axis","","take_along_axis","","",""
"numpy.trapz","","","","trapz","trapz",""
"numpy.tri","tri","","tri","tri","",""
"numpy.tril_indices","","","tril_indices","","tril_indices",""
"numpy.tril_indices_from","","","","","",""
"numpy.trim_zeros","","","","trim_zeros","",""
"numpy.triu_indices","","","triu_indices","","triu_indices",""
"numpy.triu_indices_from","","","","","",""
"numpy.typename","","","","","",""
"numpy.union1d","","","","","","sets.union"
"numpy.unpackbits","unpackbits","","unpackbits","","",""
"numpy.unravel_index","unravel_index","unravel_index","","","","unravel_index"
"numpy.unwrap","unwrap","","","unwrap","",""
"numpy.vander","","","vander","vander","",""
"numpy.vsplit","vsplit","","vsplit","vsplit","",""
