name,description,signature,url
"arctan","This docstring was copied from numpy.arctan.","arctan(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.arctan"
"arctan2","This docstring was copied from numpy.arctan2.","arctan2(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.arctan2"
"arctanh","This docstring was copied from numpy.arctanh.","arctanh(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.arctanh"
"argmax","Return the maximum of an array or maximum along an axis.","argmax(x[\, axis\, split_every\, out])","https://docs.dask.org/en/latest/array-api.html#dask.array.argmax"
"argmin","Return the minimum of an array or minimum along an axis.","argmin(x[\, axis\, split_every\, out])","https://docs.dask.org/en/latest/array-api.html#dask.array.argmin"
"argtopk","Extract the indices of the k largest elements from a on the given axis\, and return them sorted from largest to smallest.","argtopk(a\, k[\, axis\, split_every])","https://docs.dask.org/en/latest/array-api.html#dask.array.argtopk"
"argwhere","Find the indices of array elements that are non-zero\, grouped by element.","argwhere(a)","https://docs.dask.org/en/latest/array-api.html#dask.array.argwhere"
"around","Evenly round to the given number of decimals.","around(x[\, decimals])","https://docs.dask.org/en/latest/array-api.html#dask.array.around"
"array","This docstring was copied from numpy.array.","array(object[\, dtype\, copy\, order\, subok\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.array"
"as_gufunc","Decorator for dask.array.gufunc.","as_gufunc([signature])","https://docs.dask.org/en/latest/array-api.html#dask.array.gufunc.as_gufunc"
"asanyarray","Convert the input to a dask array.","asanyarray(a)","https://docs.dask.org/en/latest/array-api.html#dask.array.asanyarray"
"asarray","Convert the input to a dask array.","asarray(a\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.asarray"
"atleast_1d","Convert inputs to arrays with at least one dimension.","atleast_1d(*arys)","https://docs.dask.org/en/latest/array-api.html#dask.array.atleast_1d"
"atleast_2d","View inputs as arrays with at least two dimensions.","atleast_2d(*arys)","https://docs.dask.org/en/latest/array-api.html#dask.array.atleast_2d"
"atleast_3d","View inputs as arrays with at least three dimensions.","atleast_3d(*arys)","https://docs.dask.org/en/latest/array-api.html#dask.array.atleast_3d"
"average","Compute the weighted average along the specified axis.","average(a[\, axis\, weights\, returned])","https://docs.dask.org/en/latest/array-api.html#dask.array.average"
"bincount","This docstring was copied from numpy.bincount.","bincount(x[\, weights\, minlength])","https://docs.dask.org/en/latest/array-api.html#dask.array.bincount"
"bitwise_and","This docstring was copied from numpy.bitwise_and.","bitwise_and(x1\, x2\, /[\, out\, where\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.bitwise_and"
"bitwise_not","This docstring was copied from numpy.invert.","bitwise_not(x\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.bitwise_not"
"bitwise_or","This docstring was copied from numpy.bitwise_or.","bitwise_or(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.bitwise_or"
"bitwise_xor","This docstring was copied from numpy.bitwise_xor.","bitwise_xor(x1\, x2\, /[\, out\, where\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.bitwise_xor"
"block","Assemble an nd-array from nested lists of blocks.","block(arrays[\, allow_unknown_chunksizes])","https://docs.dask.org/en/latest/array-api.html#dask.array.block"
"blockwise","Tensor operation: Generalized inner and outer products","blockwise(func\, out_ind\, *args[\, name\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.blockwise"
"blockwise","Tensor operation: Generalized inner and outer products","blockwise(func\, out_ind\, *args[\, name\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.core.blockwise"
"broadcast_arrays","Broadcast any number of arrays against each other.","broadcast_arrays(*args\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.broadcast_arrays"
"broadcast_to","Broadcast an array to a new shape.","broadcast_to(x\, shape[\, chunks\, meta])","https://docs.dask.org/en/latest/array-api.html#dask.array.broadcast_to"
"cbrt","This docstring was copied from numpy.cbrt.","cbrt(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.cbrt"
"ceil","This docstring was copied from numpy.ceil.","ceil(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.ceil"
"choose","Construct an array from an index array and a set of arrays to choose from.","choose(a\, choices)","https://docs.dask.org/en/latest/array-api.html#dask.array.choose"
"clip","Clip (limit) the values in an array.","clip(*args\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.clip"
"coarsen","Coarsen array by applying reduction to fixed size neighborhoods","coarsen(reduction\, x\, axes[\, trim_excess])","https://docs.dask.org/en/latest/array-api.html#dask.array.coarsen"
"compress","Return selected slices of an array along given axis.","compress(condition\, a[\, axis])","https://docs.dask.org/en/latest/array-api.html#dask.array.compress"
"concatenate","Concatenate arrays along an existing axis","concatenate(seq[\, axis\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.concatenate"
"conj","This docstring was copied from numpy.conjugate.","conj(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.conj"
"copysign","This docstring was copied from numpy.copysign.","copysign(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.copysign"
"corrcoef","Return Pearson product-moment correlation coefficients.","corrcoef(x[\, y\, rowvar])","https://docs.dask.org/en/latest/array-api.html#dask.array.corrcoef"
"cos","This docstring was copied from numpy.cos.","cos(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.cos"
"cosh","This docstring was copied from numpy.cosh.","cosh(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.cosh"
"count_nonzero","Counts the number of non-zero values in the array a.","count_nonzero(a[\, axis])","https://docs.dask.org/en/latest/array-api.html#dask.array.count_nonzero"
"cov","Estimate a covariance matrix\, given data and weights.","cov(m[\, y\, rowvar\, bias\, ddof])","https://docs.dask.org/en/latest/array-api.html#dask.array.cov"
"cumprod","Return the cumulative product of elements along a given axis.","cumprod(x[\, axis\, dtype\, out\, method])","https://docs.dask.org/en/latest/array-api.html#dask.array.cumprod"
"cumsum","Return the cumulative sum of the elements along a given axis.","cumsum(x[\, axis\, dtype\, out\, method])","https://docs.dask.org/en/latest/array-api.html#dask.array.cumsum"
"deg2rad","This docstring was copied from numpy.deg2rad.","deg2rad(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.deg2rad"
"degrees","This docstring was copied from numpy.degrees.","degrees(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.degrees"
"diag","Extract a diagonal or construct a diagonal array.","diag(v)","https://docs.dask.org/en/latest/array-api.html#dask.array.diag"
"diagonal","Return specified diagonals.","diagonal(a[\, offset\, axis1\, axis2])","https://docs.dask.org/en/latest/array-api.html#dask.array.diagonal"
"diff","Calculate the n-th discrete difference along the given axis.","diff(a[\, n\, axis])","https://docs.dask.org/en/latest/array-api.html#dask.array.diff"
"digitize","Return the indices of the bins to which each value in input array belongs.","digitize(a\, bins[\, right])","https://docs.dask.org/en/latest/array-api.html#dask.array.digitize"
"dot","This docstring was copied from numpy.dot.","dot(a\, b[\, out])","https://docs.dask.org/en/latest/array-api.html#dask.array.dot"
"dstack","Stack arrays in sequence depth wise (along third axis).","dstack(tup[\, allow_unknown_chunksizes])","https://docs.dask.org/en/latest/array-api.html#dask.array.dstack"
"ediff1d","The differences between consecutive elements of an array.","ediff1d(ary[\, to_end\, to_begin])","https://docs.dask.org/en/latest/array-api.html#dask.array.ediff1d"
"einsum","This docstring was copied from numpy.einsum.","einsum(subscripts\, *operands[\, out\, dtype\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.einsum"
"empty","Blocked variant of empty","empty(*args\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.empty"
"empty_like","Return a new array with the same shape and type as a given array.","empty_like(a[\, dtype\, order\, chunks\, name\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.empty_like"
"equal","This docstring was copied from numpy.equal.","equal(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.equal"
"exp","This docstring was copied from numpy.exp.","exp(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.exp"
"exp2","This docstring was copied from numpy.exp2.","exp2(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.exp2"
"expm1","This docstring was copied from numpy.expm1.","expm1(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.expm1"
"eye","Return a 2-D Array with ones on the diagonal and zeros elsewhere.","eye(N[\, chunks\, M\, k\, dtype])","https://docs.dask.org/en/latest/array-api.html#dask.array.eye"
"fabs","This docstring was copied from numpy.fabs.","fabs(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.fabs"
"fft.fft","Wrapping of numpy.fft.fft","fft.fft(a[\, n\, axis])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.fft"
"fft.fft2","Wrapping of numpy.fft.fft2","fft.fft2(a[\, s\, axes])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.fft2"
"fft.fft_wrap","Wrap 1D\, 2D\, and ND real and complex FFT functions","fft.fft_wrap(fft_func[\, kind\, dtype])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.fft_wrap"
"fft.fftfreq","Return the Discrete Fourier Transform sample frequencies.","fft.fftfreq(n[\, d\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.fftfreq"
"fft.fftn","Wrapping of numpy.fft.fftn","fft.fftn(a[\, s\, axes])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.fftn"
"fft.fftshift","Shift the zero-frequency component to the center of the spectrum.","fft.fftshift(x[\, axes])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.fftshift"
"fft.hfft","Wrapping of numpy.fft.hfft","fft.hfft(a[\, n\, axis])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.hfft"
"fft.ifft","Wrapping of numpy.fft.ifft","fft.ifft(a[\, n\, axis])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.ifft"
"fft.ifft2","Wrapping of numpy.fft.ifft2","fft.ifft2(a[\, s\, axes])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.ifft2"
"fft.ifftn","Wrapping of numpy.fft.ifftn","fft.ifftn(a[\, s\, axes])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.ifftn"
"fft.ifftshift","The inverse of fftshift.","fft.ifftshift(x[\, axes])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.ifftshift"
"fft.ihfft","Wrapping of numpy.fft.ihfft","fft.ihfft(a[\, n\, axis])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.ihfft"
"fft.irfft","Wrapping of numpy.fft.irfft","fft.irfft(a[\, n\, axis])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.irfft"
"fft.irfft2","Wrapping of numpy.fft.irfft2","fft.irfft2(a[\, s\, axes])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.irfft2"
"fft.irfftn","Wrapping of numpy.fft.irfftn","fft.irfftn(a[\, s\, axes])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.irfftn"
"fft.rfft","Wrapping of numpy.fft.rfft","fft.rfft(a[\, n\, axis])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.rfft"
"fft.rfft2","Wrapping of numpy.fft.rfft2","fft.rfft2(a[\, s\, axes])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.rfft2"
"fft.rfftfreq","Return the Discrete Fourier Transform sample frequencies (for usage with rfft\, irfft).","fft.rfftfreq(n[\, d\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.rfftfreq"
"fft.rfftn","Wrapping of numpy.fft.rfftn","fft.rfftn(a[\, s\, axes])","https://docs.dask.org/en/latest/array-api.html#dask.array.fft.rfftn"
"fix","Round to nearest integer towards zero.","fix(*args\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.fix"
"flatnonzero","Return indices that are non-zero in the flattened version of a.","flatnonzero(a)","https://docs.dask.org/en/latest/array-api.html#dask.array.flatnonzero"
"flip","Reverse element order along axis.","flip(m\, axis)","https://docs.dask.org/en/latest/array-api.html#dask.array.flip"
"fliplr","Flip array in the left/right direction.","fliplr(m)","https://docs.dask.org/en/latest/array-api.html#dask.array.fliplr"
"flipud","Flip array in the up/down direction.","flipud(m)","https://docs.dask.org/en/latest/array-api.html#dask.array.flipud"
"float_power","This docstring was copied from numpy.float_power.","float_power(x1\, x2\, /[\, out\, where\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.float_power"
"floor","This docstring was copied from numpy.floor.","floor(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.floor"
"floor_divide","This docstring was copied from numpy.floor_divide.","floor_divide(x1\, x2\, /[\, out\, where\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.floor_divide"
"fmax","This docstring was copied from numpy.fmax.","fmax(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.fmax"
"fmin","This docstring was copied from numpy.fmin.","fmin(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.fmin"
"fmod","This docstring was copied from numpy.fmod.","fmod(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.fmod"
"frexp","This docstring was copied from numpy.frexp.","frexp(x[\, out1\, out2]\, / [[\, out\, where\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.frexp"
"from_array","Create dask array from something that looks like an array.","from_array(x[\, chunks\, name\, lock\, asarray\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.from_array"
"from_delayed","Create a dask array from a dask delayed value","from_delayed(value\, shape[\, dtype\, meta\, name])","https://docs.dask.org/en/latest/array-api.html#dask.array.from_delayed"
"from_npy_stack","Load dask array from stack of npy files","from_npy_stack(dirname[\, mmap_mode])","https://docs.dask.org/en/latest/array-api.html#dask.array.from_npy_stack"
"from_tiledb","Load array from the TileDB storage format","from_tiledb(uri[\, attribute\, chunks\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.from_tiledb"
"from_zarr","Load array from the zarr storage format","from_zarr(url[\, component\, storage_options\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.from_zarr"
"fromfunction","Construct an array by executing a function over each coordinate.","fromfunction(func[\, chunks\, shape\, dtype])","https://docs.dask.org/en/latest/array-api.html#dask.array.fromfunction"
"frompyfunc","This docstring was copied from numpy.frompyfunc.","frompyfunc(func\, nin\, nout\, *[\, identity])","https://docs.dask.org/en/latest/array-api.html#dask.array.frompyfunc"
"full","Blocked variant of full","full(shape\, fill_value\, *args\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.full"
"full_like","Return a full array with the same shape and type as a given array.","full_like(a\, fill_value[\, order\, dtype\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.full_like"
"gradient","Return the gradient of an N-dimensional array.","gradient(f\, *varargs\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.gradient"
"greater","This docstring was copied from numpy.greater.","greater(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.greater"
"greater_equal","This docstring was copied from numpy.greater_equal.","greater_equal(x1\, x2\, /[\, out\, where\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.greater_equal"
"gufunc","Binds pyfunc into dask.array.apply_gufunc when called.","gufunc(pyfunc\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.gufunc.gufunc"
"histogram","Blocked variant of numpy.histogram().","histogram(a[\, bins\, range\, normed\, weights\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.histogram"
"histogramdd","Blocked variant of numpy.histogramdd().","histogramdd(sample\, bins[\, range\, normed\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.histogramdd"
"hstack","Stack arrays in sequence horizontally (column wise).","hstack(tup[\, allow_unknown_chunksizes])","https://docs.dask.org/en/latest/array-api.html#dask.array.hstack"
"hypot","This docstring was copied from numpy.hypot.","hypot(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.hypot"
"imag","Return the imaginary part of the complex argument.","imag(*args\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.imag"
"image.imread","Read a stack of images into a dask array","image.imread(filename[\, imread\, preprocess])","https://docs.dask.org/en/latest/array-api.html#dask.array.image.imread"
"indices","Implements NumPy’s indices for Dask Arrays.","indices(dimensions[\, dtype\, chunks])","https://docs.dask.org/en/latest/array-api.html#dask.array.indices"
"insert","Insert values along the given axis before the given indices.","insert(arr\, obj\, values\, axis)","https://docs.dask.org/en/latest/array-api.html#dask.array.insert"
"invert","This docstring was copied from numpy.invert.","invert(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.invert"
"isclose","Returns a boolean array where two arrays are element-wise equal within a tolerance.","isclose(arr1\, arr2[\, rtol\, atol\, equal_nan])","https://docs.dask.org/en/latest/array-api.html#dask.array.isclose"
"iscomplex","Returns a bool array\, where True if input element is complex.","iscomplex(*args\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.iscomplex"
"isfinite","This docstring was copied from numpy.isfinite.","isfinite(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.isfinite"
"isin","Calculates element in test_elements\, broadcasting over element only.","isin(element\, test_elements[\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.isin"
"isinf","This docstring was copied from numpy.isinf.","isinf(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.isinf"
"isnan","This docstring was copied from numpy.isnan.","isnan(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.isnan"
"isneginf","This docstring was copied from numpy.equal.","isneginf","https://docs.dask.org/en/latest/array-api.html#dask.array.isneginf"
"isnull","pandas.isnull for dask arrays","isnull(values)","https://docs.dask.org/en/latest/array-api.html#dask.array.isnull"
"isposinf","This docstring was copied from numpy.equal.","isposinf","https://docs.dask.org/en/latest/array-api.html#dask.array.isposinf"
"isreal","Returns a bool array\, where True if input element is real.","isreal(*args\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.isreal"
"ldexp","This docstring was copied from numpy.ldexp.","ldexp(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.ldexp"
"less","This docstring was copied from numpy.less.","less(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.less"
"linalg.cholesky","Returns the Cholesky decomposition\, A=LL∗𝐴=𝐿𝐿∗ or A=U∗U𝐴=𝑈∗𝑈 of a Hermitian positive-definite matrix A.","linalg.cholesky(a[\, lower])","https://docs.dask.org/en/latest/array-api.html#dask.array.linalg.cholesky"
"linalg.inv","Compute the inverse of a matrix with LU decomposition and forward / backward substitutions.","linalg.inv(a)","https://docs.dask.org/en/latest/array-api.html#dask.array.linalg.inv"
"linalg.lstsq","Return the least-squares solution to a linear matrix equation using QR decomposition.","linalg.lstsq(a\, b)","https://docs.dask.org/en/latest/array-api.html#dask.array.linalg.lstsq"
"linalg.lu","Compute the lu decomposition of a matrix.","linalg.lu(a)","https://docs.dask.org/en/latest/array-api.html#dask.array.linalg.lu"
"linalg.norm","Matrix or vector norm.","linalg.norm(x[\, ord\, axis\, keepdims])","https://docs.dask.org/en/latest/array-api.html#dask.array.linalg.norm"
"linalg.qr","Compute the qr factorization of a matrix.","linalg.qr(a)","https://docs.dask.org/en/latest/array-api.html#dask.array.linalg.qr"
"linalg.sfqr","Direct Short-and-Fat QR","linalg.sfqr(data[\, name])","https://docs.dask.org/en/latest/array-api.html#dask.array.linalg.sfqr"
"linalg.solve","Solve the equation a x = b for x.","linalg.solve(a\, b[\, sym_pos])","https://docs.dask.org/en/latest/array-api.html#dask.array.linalg.solve"
"linalg.solve_triangular","Solve the equation a x = b for x\, assuming a is a triangular matrix.","linalg.solve_triangular(a\, b[\, lower])","https://docs.dask.org/en/latest/array-api.html#dask.array.linalg.solve_triangular"
"linalg.svd","Compute the singular value decomposition of a matrix.","linalg.svd(a[\, coerce_signs])","https://docs.dask.org/en/latest/array-api.html#dask.array.linalg.svd"
"linalg.svd_compressed","Randomly compressed rank-k thin Singular Value Decomposition.","linalg.svd_compressed(a\, k[\, iterator\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.linalg.svd_compressed"
"linalg.tsqr","Direct Tall-and-Skinny QR algorithm","linalg.tsqr(data[\, compute_svd\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.linalg.tsqr"
"linspace","Return num evenly spaced values over the closed interval [start\, stop].","linspace(start\, stop[\, num\, endpoint\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.linspace"
"log","This docstring was copied from numpy.log.","log(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.log"
"log10","This docstring was copied from numpy.log10.","log10(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.log10"
"log1p","This docstring was copied from numpy.log1p.","log1p(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.log1p"
"log2","This docstring was copied from numpy.log2.","log2(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.log2"
"logaddexp","This docstring was copied from numpy.logaddexp.","logaddexp(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.logaddexp"
"logaddexp2","This docstring was copied from numpy.logaddexp2.","logaddexp2(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.logaddexp2"
"logical_and","This docstring was copied from numpy.logical_and.","logical_and(x1\, x2\, /[\, out\, where\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.logical_and"
"logical_not","This docstring was copied from numpy.logical_not.","logical_not(x\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.logical_not"
"logical_or","This docstring was copied from numpy.logical_or.","logical_or(x1\, x2\, /[\, out\, where\, casting\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.logical_or"
"logical_xor","This docstring was copied from numpy.logical_xor.","logical_xor(x1\, x2\, /[\, out\, where\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.logical_xor"
"ma.average","Return the weighted average of array over the given axis.","ma.average(a[\, axis\, weights\, returned])","https://docs.dask.org/en/latest/array-api.html#dask.array.ma.average"
"ma.filled","Return input as an array with masked data replaced by a fill value.","ma.filled(a[\, fill_value])","https://docs.dask.org/en/latest/array-api.html#dask.array.ma.filled"
"ma.fix_invalid","Return input with invalid data masked and replaced by a fill value.","ma.fix_invalid(a[\, fill_value])","https://docs.dask.org/en/latest/array-api.html#dask.array.ma.fix_invalid"
"ma.getdata","Return the data of a masked array as an ndarray.","ma.getdata(a)","https://docs.dask.org/en/latest/array-api.html#dask.array.ma.getdata"
"ma.getmaskarray","Return the mask of a masked array\, or full boolean array of False.","ma.getmaskarray(a)","https://docs.dask.org/en/latest/array-api.html#dask.array.ma.getmaskarray"
"ma.masked_array","An array class with possibly masked values.","ma.masked_array(data[\, mask\, fill_value])","https://docs.dask.org/en/latest/array-api.html#dask.array.ma.masked_array"
"ma.masked_equal","Mask an array where equal to a given value.","ma.masked_equal(a\, value)","https://docs.dask.org/en/latest/array-api.html#dask.array.ma.masked_equal"
"ma.masked_greater","Mask an array where greater than a given value.","ma.masked_greater(x\, value[\, copy])","https://docs.dask.org/en/latest/array-api.html#dask.array.ma.masked_greater"
"ma.masked_greater_equal","Mask an array where greater than or equal to a given value.","ma.masked_greater_equal(x\, value[\, copy])","https://docs.dask.org/en/latest/array-api.html#dask.array.ma.masked_greater_equal"
"ma.masked_inside","Mask an array inside a given interval.","ma.masked_inside(x\, v1\, v2)","https://docs.dask.org/en/latest/array-api.html#dask.array.ma.masked_inside"
"ma.masked_invalid","Mask an array where invalid values occur (NaNs or infs).","ma.masked_invalid(a)","https://docs.dask.org/en/latest/array-api.html#dask.array.ma.masked_invalid"
"ma.masked_less","Mask an array where less than a given value.","ma.masked_less(x\, value[\, copy])","https://docs.dask.org/en/latest/array-api.html#dask.array.ma.masked_less"
"ma.masked_less_equal","Mask an array where less than or equal to a given value.","ma.masked_less_equal(x\, value[\, copy])","https://docs.dask.org/en/latest/array-api.html#dask.array.ma.masked_less_equal"
"ma.masked_not_equal","Mask an array where not equal to a given value.","ma.masked_not_equal(x\, value[\, copy])","https://docs.dask.org/en/latest/array-api.html#dask.array.ma.masked_not_equal"
"ma.masked_outside","Mask an array outside a given interval.","ma.masked_outside(x\, v1\, v2)","https://docs.dask.org/en/latest/array-api.html#dask.array.ma.masked_outside"
"ma.masked_values","Mask using floating point equality.","ma.masked_values(x\, value[\, rtol\, atol\, shrink])","https://docs.dask.org/en/latest/array-api.html#dask.array.ma.masked_values"
